Tournament,1994 Hatsu basho results - Makuuchi Division
Name,Rank,Record
Akebono,Y,11-4-0
Wakanohana,O,11-4-0
Takanohana,O,14-1-0*
Musashimaru,S,12-3-0
Takanonami,S,13-2-0
Kotonishiki,HD,9-6-0
Konishiki,HD,2-13-0
Tomonohana,K,4-11-0
Wakashoyo,K,6-9-0
Kotonowaka,M1,6-9-0
Tochinowaka,M1,8-7-0
Akinoshima,M2,4-11-0
Kotobeppu,M2,3-12-0
Daizen,M3,8-7-0
Musoyama,M3,10-5-0
Misugisato,M4,8-7-0
Kotofuji,M4,3-12-0
Oginishiki,M5,7-8-0
Daishoho,M5,0-0-15
Kenko,M6,6-9-0
Kaio,M6,8-7-0
Takatoriki,M7,6-9-0
Kushimaumi,M7,1-2-12
Terao,M8,8-7-0
Kitakachidoki,M8,8-7-0
Kiraiho,M9,6-9-0
Tamakairiki,M9,2-13-0
Kyokudozan,M10,8-7-0
Takamisugi,M10,8-7-0
Mitoizumi,M11,8-7-0
Toyonoumi,M11,6-9-0
Mainoumi,M12,8-7-0
Kotoinazuma,M12,8-7-0
Higonoumi,M13,8-7-0
Kasugafuji,M13,9-6-0
Hamanoshima,M14,8-7-0
Kirishima,M14,8-7-0
Daishoyama,M15,9-6-0
Tokitsunada,M15,9-6-0
Kototsubaki,M16,7-8-0
