Tournament,1994 Aki basho results - Makuuchi Division
Name,Rank,Record
Akebono,HD,0-0-15
Musashimaru,O,11-4-0
Wakanohana,O,12-3-0
Takanonami,O,12-3-0
Takanohana,O,15-0-0*
Musoyama,S,13-2-0
Takatoriki,S,8-7-0
Mainoumi,K,2-13-0
Hamanoshima,K,6-9-0
Misugisato,M1,6-9-0
Kotonowaka,M1,7-8-0
Kaio,M2,9-6-0
Kenko,M2,4-11-0
Terao,M3,4-11-0
Kotonishiki,M3,8-7-0
Tomonohana,M4,4-11-0
Higonoumi,M4,6-9-0
Kotoinazuma,M5,8-7-0
Tochinowaka,M5,6-9-0
Takamisugi,M6,6-9-0
Kasugafuji,M6,6-9-0
Kyokudozan,M7,8-7-0
Kotobeppu,M7,8-7-0
Oginishiki,M8,5-10-0
Kirishima,M8,7-8-0
Daizen,M9,9-6-0
Asanowaka,M9,7-8-0
Konishiki,M10,8-7-0
Kitakachidoki,M10,7-8-0
Kiraiho,M11,7-8-0
Mitoizumi,M11,7-8-0
Kotofuji,M12,4-11-0
Tokitsunada,M12,8-7-0
Daishoho,M13,8-7-0
Akinoshima,M13,11-4-0
Kotogaume,M14,5-10-0
Daishi,M14,9-6-0
Kushimaumi,M15,8-7-0
Minatofuji,M15,8-7-0
Wakanoyama,M16,7-8-0
