Tournament,1994 Nagoya basho results - Makuuchi Division
Name,Rank,Record
Akebono,HD,0-0-15
Takanohana,O,11-4-0
Musashimaru,O,15-0-0*
Takanonami,O,12-3-0
Wakanohana,O,14-1-0
Kotonishiki,S,3-12-0
Musoyama,S,8-7-0
Kaio,K,5-10-0
Terao,K,4-11-0
Takatoriki,K,10-5-0
Tochinowaka,M1,5-10-0
Oginishiki,M1,4-11-0
Hamanoshima,M2,8-7-0
Tomonohana,M2,6-9-0
Kasugafuji,M3,5-10-0
Kyokudozan,M3,5-10-0
Mainoumi,M4,9-6-0
Kotofuji,M4,4-11-0
Daizen,M5,6-9-0
Asanowaka,M5,6-9-0
Kirishima,M6,7-8-0
Misugisato,M6,8-7-0
Kotonowaka,M7,8-7-0
Daishoho,M7,6-9-0
Kitakachidoki,M8,7-8-0
Kiraiho,M8,7-8-0
Minatofuji,M9,6-9-0
Higonoumi,M9,8-7-0
Kotoinazuma,M10,8-7-0
Kenko,M10,9-6-0
Kotobeppu,M11,8-7-0
Kotogaume,M11,7-8-0
Konishiki,M12,9-6-0
Takamisugi,M12,9-6-0
Mitoizumi,M13,8-7-0
Tokitsunada,M13,8-7-0
Akinoshima,M14,8-7-0
Oginohana,M14,7-8-0
Daishi,M15,8-7-0
Kushimaumi,M15,8-7-0
