Tournament,1994 Natsu basho results - Makuuchi Division
Name,Rank,Record
Akebono,Y,10-2-3
Takanonami,O,9-6-0
Takanohana,O,14-1-0*
Musashimaru,HD,12-3-0
Wakanohana,HD,0-0-15
Kotonishiki,S,9-6-0
Musoyama,S,9-6-0
Kaio,K,8-7-0
Terao,K,8-7-0
Oginishiki,M1,7-8-0
Takatoriki,M1,9-6-0
Higonoumi,M2,4-11-0
Kenko,M2,4-11-0
Akinoshima,M3,3-12-0
Kotonowaka,M3,5-10-0
Misugisato,M4,6-9-0
Daizen,M4,7-8-0
Konishiki,M5,5-10-0
Kitakachidoki,M5,6-9-0
Kotobeppu,M6,6-9-0
Tokitsunada,M6,5-10-0
Kiraiho,M7,7-8-0
Tochinowaka,M7,8-7-0
Hamanoshima,M8,8-7-0
Tomonohana,M8,8-7-0
Kasugafuji,M9,8-7-0
Kyokudozan,M9,8-7-0
Wakashoyo,M10,2-13-0
Takamisugi,M10,7-8-0
Asanowaka,M11,8-7-0
Kirishima,M11,8-7-0
Mainoumi,M12,9-6-0
Kotofuji,M12,9-6-0
Kotoinazuma,M13,8-7-0
Kotogaume,M13,8-7-0
Mitoizumi,M14,8-7-0
Daishoho,M14,9-6-0
Minatofuji,M15,9-6-0
Naminohana,M15,6-9-0
Asahisato,M16,5-10-0
