Tournament,1994 Haru basho results - Makuuchi Division
Name,Rank,Record
Akebono,Y,12-3-0*
Takanohana,O,11-4-0
Wakanohana,O,3-4-8
Takanonami,HD,12-3-0
Musashimaru,HD,9-6-0
Kotonishiki,S,10-5-0
Musoyama,S,9-6-0
Tochinowaka,K,3-12-0
Daizen,K,5-10-0
Misugisato,M1,6-9-0
Kaio,M1,9-6-0
Wakashoyo,M2,4-11-0
Terao,M2,9-6-0
Kotonowaka,M3,7-8-0
Kitakachidoki,M3,6-9-0
Kyokudozan,M4,5-10-0
Takamisugi,M4,5-10-0
Tomonohana,M5,6-9-0
Daishoho,M5,3-12-0
Oginishiki,M6,9-6-0
Mitoizumi,M6,4-11-0
Kasugafuji,M7,7-8-0
Mainoumi,M7,6-9-0
Kotoinazuma,M8,6-9-0
Higonoumi,M8,9-6-0
Konishiki,M9,8-7-0
Kenko,M9,9-6-0
Akinoshima,M10,9-6-0
Daishoyama,M10,3-11-1
Tokitsunada,M11,8-7-0
Hamanoshima,M11,8-7-0
Takatoriki,M12,12-3-0
Kotobeppu,M12,9-6-0
Kirishima,M13,8-7-0
Kiraiho,M13,9-6-0
Kotofuji,M14,8-7-0
Toyonoumi,M14,6-9-0
Asanowaka,M15,9-6-0
Kotogaume,M15,8-7-0
Aogiyama,M16,4-11-0
