Tournament,1994 Kyushu basho results - Makuuchi Division
Name,Rank,Record
Akebono,HD,10-5-0
Takanohana,O,15-0-0*
Wakanohana,O,8-7-0
Takanonami,O,12-3-0
Musashimaru,O,12-3-0
Musoyama,S,7-8-0
Takatoriki,S,6-9-0
Kaio,K,8-7-0
Kotonishiki,K,8-7-0
Kotoinazuma,M1,5-10-0
Hamanoshima,M1,6-9-0
Kotonowaka,M2,8-7-0
Kyokudozan,M2,2-13-0
Daizen,M3,6-9-0
Misugisato,M3,5-10-0
Kotobeppu,M4,5-10-0
Akinoshima,M4,10-5-0
Konishiki,M5,6-9-0
Tokitsunada,M5,2-10-3
Daishi,M6,6-9-0
Higonoumi,M6,4-11-0
Daishoho,M7,6-9-0
Tochinowaka,M7,8-7-0
Mainoumi,M8,8-7-0
Kenko,M8,8-7-0
Kushimaumi,M9,8-7-0
Terao,M9,9-6-0
Minatofuji,M10,6-9-0
Kirishima,M10,8-7-0
Takamisugi,M11,6-9-0
Tomonohana,M11,9-6-0
Kasugafuji,M12,8-7-0
Asanowaka,M12,8-7-0
Kitakachidoki,M13,9-6-0
Kiraiho,M13,8-7-0
Oginishiki,M14,8-7-0
Mitoizumi,M14,8-7-0
Naminohana,M15,10-5-0
Oginohana,M15,6-9-0
Shikishima,M16,5-10-0
