Tournament,2012 Nagoya basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,14-1-0
Kisenosato,O,10-5-0
Kotoshogiku,O,10-5-0
Baruto,O,9-6-0
Harumafuji,O,15-0-0*
Kotooshu,O,9-6-0
Kakuryu,O,9-6-0
Goeido,S,7-7-1
Tochiozan,S,4-11-0
Myogiryu,K,8-7-0
Toyonoshima,K,5-10-0
Kyokutenho,M1,2-13-0
Aminishiki,M1,6-9-0
Aoiyama,M2,8-7-0
Okinoumi,M2,4-11-0
Wakakoyu,M3,3-12-0
Shohozan,M3,8-7-0
Tochinoshin,M4,9-6-0
Takekaze,M4,7-8-0
Aran,M5,9-6-0
Takayasu,M5,6-9-0
Homasho,M6,9-6-0
Shotenro,M6,7-8-0
Gagamaru,M7,10-5-0
Toyohibiki,M7,9-6-0
Yoshikaze,M8,7-8-0
Kaisei,M8,11-4-0
Miyabiyama,M9,8-7-0
Tokitenku,M9,9-6-0
Tamaasuka,M10,2-13-0
Takarafuji,M10,6-9-0
Tamawashi,M11,4-11-0
Kitataiki,M11,9-6-0
Sadanofuji,M12,5-10-0
Takanoyama,M12,5-10-0
Daido,M13,10-5-0
Masunoyama,M13,11-4-0
Tochinowaka,M14,5-10-0
Wakanosato,M14,8-7-0
Hochiyama,M15,1-14-0
Chiyotairyu,M15,8-7-0
Ikioi,M16,7-8-0
