Tournament,2012 Kyushu basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,14-1-0*
Harumafuji,Y,9-6-0
Kakuryu,O,9-6-0
Kisenosato,O,10-5-0
Kotoshogiku,O,8-7-0
Kotooshu,O,9-6-0
Baruto,O,1-2-12
Myogiryu,S,6-9-0
Goeido,S,11-4-0
Aminishiki,K,7-8-0
Homasho,K,4-11-0
Okinoumi,M1,2-8-5
Tochiozan,M1,10-5-0
Shohozan,M2,10-5-0
Kaisei,M2,7-8-0
Tochinoshin,M3,5-10-0
Takekaze,M3,4-11-0
Takayasu,M4,5-10-0
Masunoyama,M4,5-10-0
Aoiyama,M5,6-3-6
Toyohibiki,M5,9-6-0
Kyokutenho,M6,10-5-0
Toyonoshima,M6,11-4-0
Gagamaru,M7,8-7-0
Aran,M7,8-7-0
Tokitenku,M8,7-8-0
Daido,M8,5-10-0
Shotenro,M9,5-10-0
Asasekiryu,M9,0-3-12
Ikioi,M10,9-6-0
Yoshikaze,M10,8-7-0
Asahisho,M11,6-9-0
Miyabiyama,M11,5-10-0
Kitataiki,M12,8-7-0
Wakanosato,M12,8-7-0
Fujiazuma,M13,8-7-0
Wakakoyu,M13,4-11-0
Jokoryu,M14,6-9-0
Chiyonokuni,M14,5-10-0
Yoshiazuma,M15,3-12-0
Chiyotairyu,M15,10-5-0
Tamawashi,M16,9-6-0
