Tournament,2012 Hatsu basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,12-3-0
Baruto,O,14-1-0*
Kotoshogiku,O,8-7-0
Kotooshu,O,10-5-0
Harumafuji,O,11-4-0
Kisenosato,O,11-4-0
Kakuryu,S,10-5-0
Toyonoshima,S,5-10-0
Miyabiyama,K,3-12-0
Wakakoyu,K,5-10-0
Takekaze,M1,4-11-0
Aminishiki,M1,9-6-0
Okinoumi,M2,4-11-0
Goeido,M2,6-9-0
Kitataiki,M3,2-13-0
Takayasu,M3,6-9-0
Homasho,M4,7-8-0
Tochinowaka,M4,8-7-0
Myogiryu,M5,9-6-0
Toyohibiki,M5,7-8-0
Yoshikaze,M6,9-6-0
Kyokutenho,M6,9-6-0
Aran,M7,8-7-0
Aoiyama,M7,6-9-0
Shohozan,M8,8-7-0
Tochiozan,M8,11-4-0
Tochinoshin,M9,10-5-0
Daido,M9,6-9-0
Tokitenku,M10,11-4-0
Gagamaru,M10,12-3-0
Fujiazuma,M11,7-8-0
Sadanofuji,M11,8-7-0
Yoshiazuma,M12,3-12-0
Tosayutaka,M12,4-11-0
Chiyonokuni,M13,9-6-0
Tenkaiho,M13,8-7-0
Takanoyama,M14,6-9-0
Sagatsukasa,M14,5-10-0
Asasekiryu,M15,9-6-0
Kyokushuho,M15,3-12-0
Kaisei,M16,5-10-0
Nionoumi,M16,5-10-0
