Tournament,2012 Natsu basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,10-5-0
Harumafuji,O,8-7-0
Baruto,O,9-6-0
Kisenosato,O,11-4-0
Kotoshogiku,O,10-5-0
Kotooshu,O,8-7-0
Kakuryu,O,8-7-0
Toyonoshima,S,7-8-0
Goeido,S,8-7-0
Homasho,K,4-11-0
Aminishiki,K,7-8-0
Aran,M1,5-10-0
Takayasu,M1,5-10-0
Myogiryu,M2,9-6-0
Gagamaru,M2,5-10-0
Toyohibiki,M3,5-10-0
Takekaze,M3,7-8-0
Tochiozan,M4,12-3-0
Tochinowaka,M4,2-13-0
Okinoumi,M5,10-5-0
Miyabiyama,M5,4-11-0
Wakakoyu,M6,10-5-0
Aoiyama,M6,11-4-0
Shohozan,M7,9-6-0
Kyokutenho,M7,12-3-0*
Tochinoshin,M8,9-6-0
Kitataiki,M8,5-10-0
Tokitenku,M9,7-8-0
Yoshikaze,M9,8-7-0
Wakanosato,M10,5-10-0
Chiyotairyu,M10,5-4-6
Shotenro,M11,9-6-0
Sadanofuji,M11,7-8-0
Kaisei,M12,9-6-0
Daido,M12,7-8-0
Tenkaiho,M13,5-10-0
Kimikaze,M13,5-8-2
Asasekiryu,M14,6-9-0
Chiyonokuni,M14,0-0-15
Fujiazuma,M15,3-12-0
Tamawashi,M15,8-7-0
Takarafuji,M16,9-6-0
