Tournament,2012 Aki basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,13-2-0
Harumafuji,O,15-0-0*
Kisenosato,O,10-5-0
Kotoshogiku,O,2-2-11
Baruto,O,1-3-11
Kotooshu,O,2-4-9
Kakuryu,O,11-4-0
Myogiryu,S,10-5-0
Goeido,S,8-7-0
Aoiyama,K,4-11-0
Tochinoshin,K,6-9-0
Shohozan,M1,7-8-0
Kaisei,M1,7-8-0
Aran,M2,3-12-0
Gagamaru,M2,4-11-0
Homasho,M3,9-6-0
Toyonoshima,M3,6-9-0
Aminishiki,M4,10-5-0
Toyohibiki,M4,7-8-0
Tochiozan,M5,9-6-0
Takekaze,M5,8-7-0
Tokitenku,M6,6-9-0
Masunoyama,M6,8-7-0
Miyabiyama,M7,5-10-0
Shotenro,M7,6-9-0
Daido,M8,7-8-0
Okinoumi,M8,11-4-0
Kitataiki,M9,6-9-0
Takayasu,M9,10-5-0
Yoshikaze,M10,7-8-0
Wakakoyu,M10,6-9-0
Kyokutenho,M11,10-5-0
Wakanosato,M11,7-8-0
Chiyotairyu,M12,6-9-0
Takarafuji,M12,5-10-0
Asasekiryu,M13,8-7-0
Tenkaiho,M13,6-9-0
Asahisho,M14,8-7-0
Kimurayama,M14,6-9-0
Fujiazuma,M15,8-7-0
Sadanofuji,M15,5-10-0
Takanoyama,M16,6-9-0
