Tournament,2012 Haru basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,13-2-0*
Baruto,O,10-5-0
Harumafuji,O,11-4-0
Kisenosato,O,9-6-0
Kotooshu,O,8-7-0
Kotoshogiku,O,9-6-0
Kakuryu,S,13-2-0
Aminishiki,S,7-8-0
Gagamaru,K,6-9-0
Tochiozan,K,5-10-0
Myogiryu,M1,7-8-0
Tochinowaka,M1,5-10-0
Tokitenku,M2,3-12-0
Yoshikaze,M2,3-10-2
Kyokutenho,M3,5-10-0
Tochinoshin,M3,5-10-0
Toyonoshima,M4,11-4-0
Aran,M4,9-6-0
Wakakoyu,M5,7-8-0
Homasho,M5,11-4-0
Shohozan,M6,7-8-0
Goeido,M6,12-3-0
Takayasu,M7,10-5-0
Toyohibiki,M7,9-6-0
Chiyonokuni,M8,3-10-2
Takekaze,M8,9-6-0
Okinoumi,M9,8-7-0
Miyabiyama,M9,8-7-0
Sadanofuji,M10,6-9-0
Aoiyama,M10,8-7-0
Asasekiryu,M11,5-10-0
Tenkaiho,M11,6-9-0
Daido,M12,7-8-0
Fujiazuma,M12,5-10-0
Kitataiki,M13,9-6-0
Wakanosato,M13,8-7-0
Takarafuji,M14,6-9-0
Ikioi,M14,5-10-0
Tamawashi,M15,7-8-0
Hochiyama,M15,4-11-0
Shotenro,M16,9-6-0
Takanoyama,M16,4-11-0
