Tournament,2018 Aki basho results - Makuuchi Division
Name,Rank,Record
Kakuryu,Y,10-5-0
Hakuho,Y,15-0-0*
Kisenosato,Y,10-5-0
Goeido,O,12-3-0
Takayasu,O,11-4-0
Tochinoshin,O,9-6-0
Mitakeumi,S,9-6-0
Ichinojo,S,8-7-0
Tamawashi,K,4-11-0
Takakeisho,K,9-6-0
Ikioi,M1,3-12-0
Kaisei,M1,8-7-0
Yutakayama,M2,3-10-2
Chiyotairyu,M2,5-10-0
Shodai,M3,6-9-0
Endo,M3,3-12-0
Chiyonokuni,M4,4-11-0
Abi,M4,6-9-0
Myogiryu,M5,8-7-0
Asanoyama,M5,7-8-0
Kagayaki,M6,7-8-0
Onosho,M6,4-11-0
Shohozan,M7,7-8-0
Tochiozan,M7,8-7-0
Takarafuji,M8,7-8-0
Kotoshogiku,M8,7-8-0
Hokutofuji,M9,9-6-0
Daishomaru,M9,5-10-0
Aoiyama,M10,7-8-0
Daieisho,M10,8-7-0
Sadanoumi,M11,8-7-0
Kyokutaisei,M11,1-6-8
Okinoumi,M12,8-7-0
Nishikigi,M12,10-5-0
Ryuden,M13,10-5-0
Takanoiwa,M13,10-5-0
Takanosho,M14,8-7-0
Chiyomaru,M14,6-9-0
Chiyoshoma,M15,8-7-0
Yoshikaze,M15,11-4-0
Kotoyuki,M16,6-9-0
Ishiura,M16,4-11-0
