Tournament,2018 Haru basho results - Makuuchi Division
Name,Rank,Record
Kakuryu,Y,13-2-0*
Hakuho,Y,0-0-15
Kisenosato,Y,0-0-15
Takayasu,O,12-3-0
Goeido,O,9-6-0
Mitakeumi,S,7-8-0
Tochinoshin,S,10-5-0
Ichinojo,K,9-6-0
Chiyotairyu,K,4-11-0
Endo,M1,9-6-0
Tamawashi,M1,9-6-0
Arawashi,M2,2-13-0
Takarafuji,M2,5-10-0
Takakeisho,M3,3-7-5
Kotoshogiku,M3,6-9-0
Shohozan,M4,8-7-0
Shodai,M4,7-8-0
Chiyomaru,M5,6-9-0
Onosho,M5,0-0-15
Kaisei,M6,12-3-0
Hokutofuji,M6,6-9-0
Abi,M7,10-5-0
Yoshikaze,M7,7-8-0
Kagayaki,M8,7-8-0
Daieisho,M8,9-6-0
Okinoumi,M9,7-8-0
Ryuden,M9,8-7-0
Chiyoshoma,M10,9-6-0
Chiyonokuni,M10,7-8-0
Tochiozan,M11,5-10-0
Yutakayama,M11,10-5-0
Ishiura,M12,7-8-0
Kotoyuki,M12,1-13-1
Daishomaru,M13,9-6-0
Asanoyama,M13,8-7-0
Ikioi,M14,11-4-0
Nishikigi,M14,5-10-0
Sokokurai,M15,5-6-4
Myogiryu,M15,6-9-0
Daiamami,M16,10-5-0
Hidenoumi,M16,3-12-0
Aoiyama,M17,8-7-0
