Tournament,2018 Nagoya basho results - Makuuchi Division
Name,Rank,Record
Kakuryu,Y,3-2-10
Hakuho,Y,3-1-11
Kisenosato,Y,0-0-15
Goeido,O,10-5-0
Takayasu,O,9-6-0
Tochinoshin,O,5-2-8
Ichinojo,S,8-7-0
Mitakeumi,S,13-2-0*
Tamawashi,K,8-7-0
Shohozan,K,3-12-0
Shodai,M1,6-9-0
Kotoshogiku,M1,3-7-5
Ikioi,M2,8-7-0
Chiyonokuni,M2,6-6-3
Abi,M3,6-9-0
Takakeisho,M3,10-5-0
Kaisei,M4,9-6-0
Kagayaki,M4,6-9-0
Daishomaru,M5,5-10-0
Yoshikaze,M5,2-13-0
Endo,M6,8-7-0
Chiyotairyu,M6,9-6-0
Takarafuji,M7,7-8-0
Daieisho,M7,6-9-0
Chiyoshoma,M8,4-10-1
Kyokutaisei,M8,6-9-0
Myogiryu,M9,9-6-0
Yutakayama,M9,12-3-0
Chiyomaru,M10,5-10-0
Nishikigi,M10,6-9-0
Aoiyama,M11,8-7-0
Onosho,M11,10-5-0
Sadanoumi,M12,8-7-0
Arawashi,M12,5-10-0
Tochiozan,M13,10-5-0
Asanoyama,M13,11-4-0
Kotoeko,M14,3-12-0
Okinoumi,M14,8-7-0
Ishiura,M15,7-8-0
Ryuden,M15,8-7-0
Hokutofuji,M16,11-4-0
Meisei,M16,6-9-0
