Tournament,2018 Kyushu basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,0-0-15
Kakuryu,Y,0-0-15
Kisenosato,Y,0-4-11
Goeido,O,8-4-3
Takayasu,O,12-3-0
Tochinoshin,O,8-7-0
Mitakeumi,S,7-8-0
Ichinojo,S,6-9-0
Takakeisho,K,13-2-0*
Kaisei,K,3-9-3
Myogiryu,M1,8-7-0
Hokutofuji,M1,7-8-0
Tochiozan,M2,8-7-0
Tamawashi,M2,9-6-0
Nishikigi,M3,8-7-0
Ryuden,M3,6-9-0
Shodai,M4,8-7-0
Yoshikaze,M4,7-8-0
Chiyotairyu,M5,7-8-0
Asanoyama,M5,6-9-0
Takanoiwa,M6,6-9-0
Kagayaki,M6,5-10-0
Abi,M7,6-9-0
Shohozan,M7,10-5-0
Ikioi,M8,6-9-0
Takarafuji,M8,7-8-0
Kotoshogiku,M9,10-5-0
Daieisho,M9,9-6-0
Sadanoumi,M10,7-8-0
Yutakayama,M10,5-10-0
Chiyonokuni,M11,5-10-0
Okinoumi,M11,11-4-0
Aoiyama,M12,11-4-0
Endo,M12,9-6-0
Onosho,M13,11-4-0
Takanosho,M13,4-11-0
Chiyoshoma,M14,7-8-0
Daishomaru,M14,6-9-0
Daiamami,M15,7-8-0
Meisei,M15,9-6-0
Arawashi,M16,1-12-2
Chiyomaru,M16,4-11-1
