Tournament,2018 Natsu basho results - Makuuchi Division
Name,Rank,Record
Kakuryu,Y,14-1-0*
Hakuho,Y,11-4-0
Kisenosato,Y,0-0-15
Takayasu,O,0-0-15
Goeido,O,3-6-6
Tochinoshin,S,13-2-0
Ichinojo,S,8-7-0
Mitakeumi,K,9-6-0
Endo,K,3-10-2
Tamawashi,M1,8-7-0
Kaisei,M1,6-9-0
Shohozan,M2,8-7-0
Abi,M2,7-8-0
Daieisho,M3,5-10-0
Yutakayama,M3,2-13-0
Chiyotairyu,M4,6-9-0
Shodai,M4,9-6-0
Kotoshogiku,M5,8-7-0
Ikioi,M5,8-7-0
Chiyoshoma,M6,6-9-0
Takarafuji,M6,7-8-0
Ryuden,M7,3-12-0
Chiyomaru,M7,4-11-0
Yoshikaze,M8,8-7-0
Kagayaki,M8,9-6-0
Daishomaru,M9,9-6-0
Hokutofuji,M9,4-7-4
Okinoumi,M10,5-10-0
Takakeisho,M10,10-5-0
Daiamami,M11,4-11-0
Chiyonokuni,M11,12-3-0
Arawashi,M12,7-8-0
Asanoyama,M12,7-8-0
Ishiura,M13,6-9-0
Aoiyama,M13,8-7-0
Sadanoumi,M14,8-7-0
Takekaze,M14,6-9-0
Tochiozan,M15,8-7-0
Kyokutaisei,M15,10-5-0
Myogiryu,M16,10-5-0
Aminishiki,M16,4-11-0
Nishikigi,M17,10-5-0
