Tournament,1992 Natsu basho results - Makuuchi Division
Name,Rank,Record
Hokutoumi,Y,0-0-0
Konishiki,O,9-6-0
Kirishima,O,0-4-11
Tochinowaka,S,2-9-4
Akebono,S,13-2-0*
Akinoshima,K,9-6-0
Mitoizumi,K,7-8-0
Kotonishiki,HD,9-6-0
Musashimaru,HD,8-7-0
Misugisato,M1,10-5-0
Tomoefuji,M1,8-7-0
Terao,M2,2-13-0
Takahanada,M2,9-6-0
Daishoyama,M3,6-9-0
Kotofuji,M3,6-9-0
Daishoho,M4,8-7-0
Kushimaumi,M4,8-7-0
Takatoriki,M5,6-9-0
Toyonoumi,M5,8-7-0
Kyokudozan,M6,9-6-0
Kirinishiki,M6,5-2-8
Kiraiho,M7,9-6-0
Wakahanada,M7,11-4-0
Mainoumi,M8,6-9-0
Takamisugi,M8,8-7-0
Kototsubaki,M9,10-5-0
Tatsuhikari,M9,8-7-0
Takanonami,M10,7-8-0
Kitakachidoki,M10,8-7-0
Wakashoyo,M11,5-10-0
Kasugafuji,M11,4-11-0
Wakanoyama,M12,8-7-0
Kotonowaka,M12,8-7-0
Tamakairiki,M13,6-9-0
Oginohana,M13,9-6-0
Tokitsunada,M14,8-7-0
Wakasegawa,M14,3-11-1
Tsunenoyama,M15,8-7-0
Sakahoko,M15,4-11-0
Ryogoku,M16,10-5-0
