Tournament,1992 Hatsu basho results - Makuuchi Division
Name,Rank,Record
Hokutoumi,Y,0-0-15
Asahifuji,Y,0-4-11
Konishiki,O,12-3-0
Kirishima,O,8-7-0
Kotonishiki,S,7-8-0
Takatoriki,S,7-8-0
Tochinowaka,K,8-7-0
Akebono,K,13-2-0
Mitoizumi,M1,8-7-0
Wakahanada,M1,10-5-0
Takahanada,M2,14-1-0*
Daishoyama,M2,5-10-0
Musashimaru,M3,9-6-0
Ryogoku,M3,5-10-0
Kitakachidoki,M4,6-9-0
Kirinishiki,M4,7-8-0
Akinoshima,M5,8-7-0
Misugisato,M5,8-7-0
Kyokudozan,M6,7-8-0
Kushimaumi,M6,8-7-0
Mainoumi,M7,4-11-0
Sakahoko,M7,6-9-0
Terao,M8,8-7-0
Kotogaume,M8,5-10-0
Wakasegawa,M9,6-9-0
Kotonowaka,M9,7-8-0
Kiraiho,M10,6-9-0
Kasugafuji,M10,8-7-0
Takanonami,M11,10-5-0
Kotofuji,M11,8-7-0
Tomoefuji,M12,8-7-0
Takamisugi,M12,8-7-0
Daizen,M13,6-9-0
Kototsubaki,M13,7-8-0
Daishoho,M14,8-7-0
Tatsuhikari,M14,7-8-0
Ozutsu,M15,4-11-0
Wakashoyo,M15,6-9-0
Tsunenoyama,M16,8-7-0
Kotoinazuma,M16,8-7-0
