Tournament,1992 Nagoya basho results - Makuuchi Division
Name,Rank,Record
Akebono,O,0-0-15
Konishiki,O,10-5-0
Kirishima,HD,11-4-0
Akinoshima,S,10-5-0
Kotonishiki,S,6-9-0
Musashimaru,K,11-4-0
Misugisato,K,8-7-0
Takahanada,HD,8-7-0
Tomoefuji,HD,0-2-13
Wakahanada,M1,4-9-2
Mitoizumi,M1,13-2-0*
Kyokudozan,M2,9-6-0
Daishoho,M2,5-10-0
Kushimaumi,M3,6-9-0
Kototsubaki,M3,5-5-5
Kiraiho,M4,7-8-0
Toyonoumi,M4,8-7-0
Tochinowaka,M5,5-10-0
Takamisugi,M5,7-8-0
Daishoyama,M6,8-7-0
Tatsuhikari,M6,4-11-0
Kotofuji,M7,8-7-0
Kitakachidoki,M7,7-8-0
Takatoriki,M8,9-6-0
Oginohana,M8,8-5-2
Ryogoku,M9,6-5-4
Wakanoyama,M9,6-9-0
Kotonowaka,M10,8-7-0
Kirinishiki,M10,8-7-0
Mainoumi,M11,8-7-0
Tokitsunada,M11,8-7-0
Tsunenoyama,M12,4-11-0
Takanonami,M12,9-6-0
Terao,M13,9-6-0
Enazakura,M13,4-11-0
Daizen,M14,7-8-0
Kenko,M14,3-12-0
Kotogaume,M15,8-7-0
Tachihikari,M15,7-8-0
Hananokuni,M16,6-9-0
