Tournament,1992 Haru basho results - Makuuchi Division
Name,Rank,Record
Hokutoumi,Y,0-3-12
Konishiki,O,13-2-0*
Kirishima,O,12-3-0
Akebono,S,8-7-0
Takahanada,S,5-10-0
Tochinowaka,K,12-3-0
Wakahanada,K,0-10-5
Mitoizumi,HD,8-7-0
Kotonishiki,M1,9-6-0
Musashimaru,M1,9-6-0
Takatoriki,M2,6-9-0
Akinoshima,M2,12-3-0
Misugisato,M3,8-7-0
Kushimaumi,M3,7-8-0
Takanonami,M4,5-10-0
Terao,M4,8-7-0
Kirinishiki,M5,7-8-0
Kasugafuji,M5,4-11-0
Kotofuji,M6,8-7-0
Tomoefuji,M6,9-6-0
Takamisugi,M7,7-8-0
Kitakachidoki,M7,6-9-0
Daishoyama,M8,9-6-0
Kyokudozan,M8,8-7-0
Ryogoku,M9,4-11-0
Daishoho,M9,9-6-0
Sakahoko,M10,5-10-0
Toyonoumi,M10,9-6-0
Kotonowaka,M11,7-8-0
Oginohana,M11,6-9-0
Tsunenoyama,M12,6-9-0
Kotoinazuma,M12,3-4-8
Wakasegawa,M13,7-8-0
Kiraiho,M13,9-6-0
Kotogaume,M14,3-12-0
Kototsubaki,M14,8-7-0
Mainoumi,M15,9-6-0
Tatsuhikari,M15,8-7-0
Daizen,M16,7-8-0
Hananokuni,M16,6-9-0
