Tournament,1992 Kyushu basho results - Makuuchi Division
Name,Rank,Record
Konishiki,O,0-2-13
Akebono,O,14-1-0*
Kirishima,HD,1-7-7
Musashimaru,S,9-6-0
Takahanada,S,10-5-0
Akinoshima,HD,7-8-0
Mitoizumi,HD,1-12-2
Kotonishiki,K,13-2-0
Kyokudozan,K,4-11-0
Takatoriki,HD,5-10-0
Daishoho,M1,9-6-0
Takamisugi,M1,8-7-0
Terao,M2,7-8-0
Kushimaumi,M2,8-7-0
Misugisato,M3,8-7-0
Tochinowaka,M3,7-8-0
Wakashoyo,M4,8-7-0
Wakahanada,M4,9-6-0
Kitakachidoki,M5,7-8-0
Daizen,M5,9-6-0
Kotonowaka,M6,7-8-0
Tomoefuji,M6,10-5-0
Toyonoumi,M7,9-6-0
Mainoumi,M7,4-11-0
Tamakairiki,M8,6-9-0
Daishoyama,M8,5-10-0
Tatsuhikari,M9,6-9-0
Oginohana,M9,8-7-0
Takanonami,M10,9-6-0
Kotoinazuma,M10,7-8-0
Kotofuji,M11,6-9-0
Kiraiho,M11,7-8-0
Tokitsunada,M12,9-6-0
Kirinishiki,M12,8-7-0
Kotogaume,M13,7-8-0
Kasugafuji,M13,9-6-0
Kototsubaki,M14,10-4-1
Kotobeppu,M14,10-5-0
Wakanoyama,M15,5-10-0
Hananokuni,M15,5-10-0
