Tournament,2020 Kyushu basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,0-0-15
Kakuryu,Y,0-0-15
Takakeisho,O,13-2-0*
Asanoyama,O,1-2-12
Shodai,O,3-2-10
Mitakeumi,S,7-8-0
Takanosho,S,8-7-0
Terunofuji,K,13-2-0
Takayasu,K,8-7-0
Kiribayama,M1,3-12-0
Wakatakakage,M1,7-8-0
Onosho,M2,7-8-0
Daieisho,M2,10-5-0
Kagayaki,M3,5-10-0
Okinoumi,M3,6-9-0
Hokutofuji,M4,11-4-0
Tobizaru,M4,6-9-0
Myogiryu,M5,4-11-0
Kotoshoho,M5,8-7-0
Takarafuji,M6,9-6-0
Tamawashi,M6,8-7-0
Tochinoshin,M7,9-6-0
Endo,M7,8-7-0
Aoiyama,M8,6-9-0
Terutsuyoshi,M8,5-10-0
Tokushoryu,M9,8-7-0
Kotoeko,M9,6-9-0
Ryuden,M10,9-6-0
Meisei,M10,9-6-0
Sadanoumi,M11,5-10-0
Enho,M11,3-12-0
Yutakayama,M12,6-9-0
Kaisei,M12,6-9-0
Hoshoryu,M13,7-8-0
Ichinojo,M13,8-7-0
Chiyonokuni,M14,10-5-0
Kotonowaka,M14,7-8-0
Chiyotairyu,M15,9-6-0
Kotoyuki,M15,0-0-15
Chiyoshoma,M16,8-7-0
Akua,M16,9-6-0
Shimanoumi,M17,11-4-0
