Tournament,2020 Haru basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,13-2-0*
Kakuryu,Y,12-3-0
Takakeisho,O,7-8-0
Asanoyama,S,11-4-0
Shodai,S,8-7-0
Hokutofuji,K,4-11-0
Endo,K,7-8-0
Daieisho,M1,8-7-0
Takayasu,M1,0-5-10
Okinoumi,M2,8-7-0
Tokushoryu,M2,4-11-0
Yutakayama,M3,8-7-0
Mitakeumi,M3,10-5-0
Enho,M4,6-9-0
Abi,M4,7-8-0
Ryuden,M5,6-9-0
Onosho,M5,9-6-0
Myogiryu,M6,4-11-0
Kagayaki,M6,8-7-0
Takarafuji,M7,9-6-0
Tamawashi,M7,6-9-0
Shohozan,M8,4-11-0
Kiribayama,M8,9-6-0
Takanosho,M9,12-3-0
Tochinoshin,M9,6-9-0
Sadanoumi,M10,6-9-0
Tochiozan,M10,3-12-0
Chiyotairyu,M11,8-7-0
Terutsuyoshi,M11,9-6-0
Ishiura,M12,9-6-0
Ikioi,M12,8-7-0
Kotoshogiku,M13,7-8-0
Aoiyama,M13,11-4-0
Kaisei,M14,8-7-0
Nishikigi,M14,6-9-0
Tsurugisho,M15,1-4-10
Chiyomaru,M15,7-6-2
Azumaryu,M16,5-10-0
Shimanoumi,M16,9-6-0
Meisei,M17,7-8-0
Daiamami,M17,5-10-0
Kotonowaka,M18,9-6-0
