Tournament,2020 Nagoya basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,10-3-2
Kakuryu,Y,0-2-13
Takakeisho,O,8-4-3
Asanoyama,O,12-3-0
Shodai,S,11-4-0
Mitakeumi,S,11-4-0
Daieisho,K,11-4-0
Okinoumi,K,9-6-0
Endo,M1,8-7-0
Yutakayama,M1,5-10-0
Takanosho,M2,8-7-0
Onosho,M2,2-13-0
Takarafuji,M3,5-10-0
Kiribayama,M3,6-9-0
Kagayaki,M4,5-10-0
Aoiyama,M4,5-10-0
Abi,M5,3-4-8
Hokutofuji,M5,9-6-0
Enho,M6,5-10-0
Ryuden,M6,7-8-0
Terutsuyoshi,M7,8-7-0
Tokushoryu,M7,7-8-0
Ishiura,M8,4-11-0
Chiyotairyu,M8,6-9-0
Tamawashi,M9,10-5-0
Ikioi,M9,3-12-0
Kaisei,M10,6-9-0
Myogiryu,M10,10-5-0
Shimanoumi,M11,5-10-0
Tochinoshin,M11,10-5-0
Sadanoumi,M12,8-7-0
Shohozan,M12,5-10-0
Takayasu,M13,10-5-0
Kotonowaka,M13,4-6-5
Kotoshogiku,M14,8-7-0
Wakatakakage,M14,10-5-0
Kotoshoho,M15,8-7-0
Chiyomaru,M15,4-11-0
Nishikigi,M16,6-9-0
Kotoeko,M16,10-5-0
Terunofuji,M17,13-2-0*
Kotoyuki,M17,6-8-1
