Tournament,2020 Aki basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,0-0-15
Kakuryu,Y,0-0-15
Asanoyama,O,10-5-0
Takakeisho,O,12-3-0
Shodai,S,13-2-0*
Mitakeumi,S,8-7-0
Daieisho,S,5-10-0
Okinoumi,K,4-11-0
Endo,K,3-9-3
Terunofuji,M1,8-5-2
Takanosho,M1,10-5-0
Hokutofuji,M2,6-9-0
Tamawashi,M2,5-10-0
Myogiryu,M3,6-9-0
Terutsuyoshi,M3,5-10-0
Yutakayama,M4,2-5-8
Tochinoshin,M4,6-9-0
Kiribayama,M5,9-4-2
Takarafuji,M5,7-8-0
Takayasu,M6,10-5-0
Kagayaki,M6,8-7-0
Ryuden,M7,6-9-0
Aoiyama,M7,7-8-0
Tokushoryu,M8,7-8-0
Wakatakakage,M8,11-4-0
Enho,M9,6-9-0
Onosho,M9,10-5-0
Sadanoumi,M10,7-8-0
Kotoeko,M10,8-7-0
Chiyotairyu,M11,5-8-2
Kotoshogiku,M11,2-10-3
Kotoshoho,M12,10-5-0
Kaisei,M12,7-8-0
Meisei,M13,9-6-0
Ishiura,M13,4-4-7
Tobizaru,M14,11-4-0
Abi,M14,0-0-15
Shimanoumi,M15,6-9-0
Shohozan,M15,5-10-0
Kyokutaisei,M16,2-2-11
Hoshoryu,M16,8-7-0
Ichinojo,M17,8-7-0
