Tournament,2020 Hatsu basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,1-3-11
Kakuryu,Y,1-4-10
Takakeisho,O,11-4-0
Goeido,O,5-10-0
Asanoyama,S,10-5-0
Takayasu,S,6-9-0
Abi,K,5-10-0
Daieisho,K,7-8-0
Endo,M1,9-6-0
Myogiryu,M1,5-10-0
Hokutofuji,M2,11-4-0
Mitakeumi,M2,7-8-0
Tamawashi,M3,5-10-0
Kotoyuki,M3,0-0-15
Okinoumi,M4,8-7-0
Shodai,M4,13-2-0
Meisei,M5,1-7-7
Enho,M5,8-7-0
Takarafuji,M6,7-8-0
Tochinoshin,M6,5-10-0
Shohozan,M7,7-8-0
Onosho,M7,9-6-0
Aoiyama,M8,4-11-0
Ryuden,M8,10-5-0
Takanosho,M9,7-8-0
Yutakayama,M9,11-4-0
Sadanoumi,M10,7-8-0
Ishiura,M10,6-9-0
Chiyotairyu,M11,7-8-0
Kagayaki,M11,10-5-0
Tsurugisho,M12,6-9-0
Chiyomaru,M12,6-9-0
Kotoshogiku,M13,7-8-0
Kotoeko,M13,2-13-0
Terutsuyoshi,M14,8-7-0
Shimanoumi,M14,6-9-0
Azumaryu,M15,7-8-0
Ikioi,M15,8-7-0
Tochiozan,M16,9-6-0
Kaisei,M16,8-7-0
Kiribayama,M17,11-4-0
Tokushoryu,M17,14-1-0*
