Tournament,2005 Kyushu basho results - Makuuchi Division
Name,Rank,Record
Asashoryu,Y,14-1-0*
Tochiazuma,O,--11
Chiyotaikai,O,11-4-0
Kaio,O,10-5-0
Kotooshu,S,11-4-0
Kotomitsuki,S,8-7-0
Kyokutenho,K,8-7-0
Hakuho,K,9-6-0
Tamanoshima,M1,8-7-0
Hokutoriki,M1,2-13-0
Futen'o,M2,3-12-0
Kakizoe,M2,4-11-0
Wakanosato,M3,0-0-15
Dejima,M3,5-10-0
Miyabiyama,M4,10-5-0
Iwakiyama,M4,7-8-0
Kisenosato,M5,5-10-0
Ama,M5,7-8-0
Aminishiki,M6,7-8-0
Kokkai,M6,9-6-0
Kotoshogiku,M7,6-9-0
Tokitenku,M7,10-5-0
Roho,M8,10-5-0
Toyonoshima,M8,7-8-0
Takamisakari,M9,7-8-0
Takekaze,M9,9-6-0
Kyokushuzan,M10,7-8-0
Takanowaka,M10,1-11-3
Tosanoumi,M11,5-10-0
Kotonowaka,M11,5-10-0
Wakatoba,M12,5-10-0
Asasekiryu,M12,9-6-0
Hakurozan,M13,10-5-0
Shunketsu,M13,6-9-0
Tochinohana,M14,11-4-0
Shimotori,M14,0-0-15
Kasuganishiki,M15,9-6-0
Tamaasuka,M15,0-5-10
Katayama,M16,7-8-0
Kasugao,M16,8-7-0
Jumonji,M17,9-6-0
Tochinonada,M17,7-8-0
