Tournament,2005 Hatsu basho results - Makuuchi Division
Name,Rank,Record
Asashoryu,Y,15-0-0*
Kaio,O,4-6-5
Chiyotaikai,O,8-7-0
Wakanosato,S,6-9-0
Miyabiyama,S,9-6-0
Tochiazuma,S,11-4-0
Kotomitsuki,K,7-8-0
Hakuho,K,11-4-0
Iwakiyama,M1,8-7-0
Tochinonada,M1,5-10-0
Kotonowaka,M2,4-11-0
Tosanoumi,M2,7-8-0
Tamanoshima,M3,5-10-0
Kokkai,M3,7-8-0
Kotooshu,M4,9-6-0
Kakizoe,M4,8-7-0
Roho,M5,7-8-0
Takamisakari,M5,6-9-0
Kyokutenho,M6,10-5-0
Kaiho,M6,5-10-0
Hayateumi,M7,8-7-0
Kotoryu,M7,4-11-0
Hokutoriki,M8,8-7-0
Takekaze,M8,0-0-15
Takanowaka,M9,6-9-0
Shimotori,M9,8-7-0
Dejima,M10,9-6-0
Kyokushuzan,M10,9-6-0
Asasekiryu,M11,8-7-0
Jumonji,M11,9-6-0
Tokitsuumi,M12,5-10-0
Kisenosato,M12,6-9-0
Ama,M13,8-6-1
Buyuzan,M13,9-6-0
Kasugao,M14,9-6-0
Tamakasuga,M14,7-8-0
Tochisakae,M15,0-0-15
Harunoyama,M15,0-0-15
Kotoshogiku,M16,5-10-0
Aminishiki,M16,7-8-0
Toyonoshima,M17,8-7-0
Tokitenku,M17,6-9-0
