Tournament,2005 Aki basho results - Makuuchi Division
Name,Rank,Record
Asashoryu,Y,13-2-0*
Kaio,O,--
Tochiazuma,O,10-5-0
Chiyotaikai,O,10-5-0
Kotooshu,S,13-2-0
Wakanosato,S,4-3-8
Kotomitsuki,K,9-6-0
Futen'o,K,5-10-0
Miyabiyama,M1,6-9-0
Hakuho,M1,9-6-0
Kakizoe,M2,7-8-0
Kokkai,M2,5-10-0
Dejima,M3,7-8-0
Kyokutenho,M3,10-5-0
Iwakiyama,M4,7-8-0
Kyokushuzan,M4,4-11-0
Takamisakari,M5,5-10-0
Aminishiki,M5,7-8-0
Kotoshogiku,M6,7-8-0
Tokitenku,M6,7-8-0
Hokutoriki,M7,8-7-0
Kaiho,M7,0-0-15
Tosanoumi,M8,6-9-0
Tamanoshima,M8,11-4-0
Takekaze,M9,7-8-0
Tamaasuka,M9,4-11-0
Asasekiryu,M10,6-2-7
Roho,M10,8-7-0
Ama,M11,9-6-0
Toyozakura,M11,4-11-0
Hakurozan,M12,7-8-0
Ishide,M12,7-8-0
Kotonowaka,M13,8-7-0
Tochisakae,M13,5-10-0
Jumonji,M14,6-9-0
Tokitsuumi,M14,4-11-0
Takanowaka,M15,9-6-0
Wakatoba,M15,8-7-0
Kasugao,M16,7-8-0
Kisenosato,M16,12-3-0
Tochinonada,M17,7-8-0
Shimotori,M17,8-7-0
