Tournament,2005 Haru basho results - Makuuchi Division
Name,Rank,Record
Asashoryu,Y,14-1-0*
Chiyotaikai,O,6-9-0
Kaio,O,10-5-0
Tochiazuma,O,10-5-0
Miyabiyama,S,5-10-0
Hakuho,S,8-7-0
Iwakiyama,K,4-11-0
Kotooshu,K,4-11-0
Kyokutenho,M1,6-9-0
Wakanosato,M1,8-7-0
Kotomitsuki,M2,9-6-0
Kakizoe,M2,6-9-0
Tosanoumi,M3,10-5-0
Hayateumi,M3,0-0-15
Kokkai,M4,10-5-0
Tochinonada,M4,8-7-0
Dejima,M5,7-8-0
Hokutoriki,M5,7-8-0
Kyokushuzan,M6,5-10-0
Roho,M6,11-4-0
Jumonji,M7,7-8-0
Tamanoshima,M7,12-3-0
Shimotori,M8,2-10-3
Takamisakari,M8,9-6-0
Kotonowaka,M9,8-7-0
Asasekiryu,M9,8-7-0
Buyuzan,M10,6-9-0
Kaiho,M10,11-4-0
Kasugao,M11,1-14-0
Ama,M11,9-6-0
Takanowaka,M12,7-8-0
Kotoryu,M12,0-4-11
Toyonoshima,M13,7-8-0
Futen'o,M13,8-7-0
Kasuganishiki,M14,1-3-11
Toyozakura,M14,8-7-0
Tamakasuga,M15,7-8-0
Kisenosato,M15,8-7-0
Tokitsuumi,M16,8-7-0
Otsukasa,M16,4-11-0
Ishide,M17,6-9-0
Aminishiki,M17,9-6-0
