Tournament,2005 Natsu basho results - Makuuchi Division
Name,Rank,Record
Asashoryu,Y,15-0-0*
Kaio,O,5-1-9
Tochiazuma,O,12-3-0
Chiyotaikai,O,10-5-0
Hakuho,S,9-6-0
Tosanoumi,S,4-11-0
Kotomitsuki,K,13-2-0
Wakanosato,K,6-9-0
Tamanoshima,M1,5-10-0
Roho,M1,7-8-0
Kokkai,M2,5-10-0
Tochinonada,M2,5-10-0
Miyabiyama,M3,8-7-0
Kyokutenho,M3,6-9-0
Kaiho,M4,4-11-0
Iwakiyama,M4,5-10-0
Kotooshu,M5,10-5-0
Kakizoe,M5,9-6-0
Dejima,M6,9-6-0
Hokutoriki,M6,8-7-0
Takamisakari,M7,5-10-0
Jumonji,M7,6-9-0
Kotonowaka,M8,8-7-0
Asasekiryu,M8,8-7-0
Ama,M9,8-7-0
Kyokushuzan,M9,12-3-0
Futen'o,M10,11-4-0
Toyozakura,M10,4-11-0
Aminishiki,M11,8-7-0
Kisenosato,M11,5-10-0
Buyuzan,M12,6-9-0
Tokitsuumi,M12,3-12-0
Takanowaka,M13,5-10-0
Toyonoshima,M13,6-9-0
Kotoshogiku,M14,10-5-0
Hayateumi,M14,3-4-8
Takekaze,M15,9-6-0
Tokitenku,M15,8-7-0
Tamakasuga,M16,8-7-0
Katayama,M16,8-7-0
Shimotori,M17,5-10-0
Toki,M17,6-9-0
