Tournament,2005 Nagoya basho results - Makuuchi Division
Name,Rank,Record
Asashoryu,Y,13-2-0*
Tochiazuma,O,9-6-0
Chiyotaikai,O,3-6-6
Kaio,O,10-5-
Hakuho,S,6-3-6
Kotomitsuki,S,7-8-0
Kotooshu,K,12-3-0
Miyabiyama,K,7-8-0
Kakizoe,M1,7-8-0
Kyokushuzan,M1,5-10-0
Dejima,M2,7-8-0
Wakanosato,M2,11-4-0
Roho,M3,3-8-4
Futen'o,M3,10-5-0
Tosanoumi,M4,5-10-0
Tamanoshima,M4,5-10-0
Hokutoriki,M5,6-9-0
Kyokutenho,M5,8-7-0
Kokkai,M6,9-6-0
Tochinonada,M6,0-2-13
Kotonowaka,M7,4-11-0
Asasekiryu,M7,6-7-2
Ama,M8,6-9-0
Iwakiyama,M8,9-3-3
Kotoshogiku,M9,8-7-0
Aminishiki,M9,9-6-0
Kaiho,M10,8-7-0
Jumonji,M10,5-10-0
Takekaze,M11,8-7-0
Takamisakari,M11,10-5-0
Tokitenku,M12,9-6-0
Tochisakae,M12,7-8-0
Tamakasuga,M13,0-3-12
Katayama,M13,4-11-0
Tamaasuka,M14,9-6-0
Hakurozan,M14,8-7-0
Buyuzan,M15,4-11-0
Kisenosato,M15,7-8-0
Toyonoshima,M16,6-9-0
Toyozakura,M16,9-6-0
Ishide,M17,9-6-0
Takanowaka,M17,8-7-0
