Tournament,2024 Aki basho results - Makuuchi Division
Name,Rank,Record
Terunofuji,Y,0-0-15
Kotozakura,O,8-7-0
Hoshoryu,O,8-7-0
Abi,S,5-10-0
Onosato,S,13-2-0*
Kirishima,S,12-3-0
Takakeisho,S,0-3-10
Daieisho,K,8-7-0
Hiradoumi,K,7-8-0
Takanosho,M1,4-11-0
Tobizaru,M1,5-10-0
Atamifuji,M2,7-8-0
Oho,M2,9-6-0
Mitakeumi,M3,4-11-0
Wakamotoharu,M3,11-4-0
Shodai,M4,10-5-0
Kotoshoho,M4,7-8-0
Ura,M5,9-6-0
Shonannoumi,M5,3-12-0
Meisei,M6,5-10-0
Gonoyama,M6,6-9-0
Wakatakakage,M7,12-3-0
Churanoumi,M7,10-5-0
Endo,M8,8-7-0
Midorifuji,M8,7-8-0
Ichiyamamoto,M9,7-8-0
Oshoma,M9,10-5-0
Tamawashi,M10,7-8-0
Roga,M10,8-7-0
Sadanoumi,M11,7-8-0
Kagayaki,M11,3-12-0
Bushozan,M12,4-11-0
Kinbozan,M12,4-11-0
Hokutofuji,M13,8-5-2
Nishikigi,M13,11-4-0
Ryuden,M14,8-7-0
Onokatsu,M14,7-8-0
Takayasu,M15,10-5-0
Takarafuji,M15,10-5-0
Shirokuma,M16,4-9-2
Kitanowaka,M16,6-9-0
Nishikifuji,M17,8-7-0
