Tournament,2026 Haru basho results - Makuuchi Division
Name,Rank,Record
Terunofuji,Y,2-5-8
Kirishima,O,5-10-0
Hoshoryu,O,11-4-0
Takakeisho,O,8-6-1
Kotonowaka,O,10-5-0
Daieisho,S,6-9-0
Wakamotoharu,S,9-6-0
Abi,K,9-6-0
Nishikigi,K,3-12-0
Ura,M1,6-9-0
Asanoyama,M1,9-6-0
Atamifuji,M2,8-7-0
Meisei,M2,6-9-0
Oho,M3,7-8-0
Takanosho,M3,5-10-0
Tobizaru,M4,8-7-0
Hiradoumi,M4,9-6-0
Midorifuji,M5,7-8-0
Onosato,M5,11-4-0
Tsurugisho,M6,2-3-10
Gonoyama,M6,10-5-0
Kinbozan,M7,6-7-2
Tamawashi,M7,7-8-0
Onosho,M8,9-6-0
Takayasu,M8,11-4-0
Hokutofuji,M9,6-9-0
Kotoshoho,M9,8-7-0
Shodai,M10,8-7-0
Mitakeumi,M10,9-6-0
Ichiyamamoto,M11,7-8-0
Sadanoumi,M11,8-7-0
Shonannoumi,M12,9-6-0
Shimazuumi,M12,0-4-11
Ryuden,M13,6-9-0
Churanoumi,M13,7-8-0
Nishikifuji,M14,8-7-0
Kitanowaka,M14,3-12-0
Myogiryu,M15,6-9-0
Roga,M15,7-8-0
Endo,M16,5-10-0
Daiamami,M16,7-8-0
Takerufuji,M17,13-2-0*
