Tournament,2026 Hatsu basho results - Makuuchi Division
Name,Rank,Record
Terunofuji,Y,13-2-0*
Kirishima,O,11-4-0
Hoshoryu,O,10-4-1
Takakeisho,O,2-2-11
Kotonowaka,S,13-2-0
Daieisho,S,9-6-0
Takayasu,K,2-4-9
Ura,K,6-9-0
Wakamotoharu,M1,10-5-0
Atamifuji,M1,6-9-0
Midorifuji,M2,5-10-0
Abi,M2,8-7-0
Gonoyama,M3,5-10-0
Hokutofuji,M3,4-5-6
Tobizaru,M4,7-8-0
Shodai,M4,4-11-0
Ryuden,M5,3-12-0
Nishikigi,M5,8-7-0
Kinbozan,M6,7-8-0
Shonannoumi,M6,4-11-0
Ichiyamamoto,M7,5-10-0
Asanoyama,M7,9-3-3
Hokuseiho,M8,2-4-9
Hiradoumi,M8,8-7-0
Mitakeumi,M9,6-9-0
Meisei,M9,9-6-0
Tamawashi,M10,8-7-0
Sadanoumi,M10,6-9-0
Tsurugisho,M11,9-6-0
Oho,M11,10-5-0
Takanosho,M12,10-5-0
Myogiryu,M12,5-10-0
Churanoumi,M13,7-8-0
Endo,M13,5-10-0
Kotoshoho,M14,9-6-0
Onosho,M14,10-5-0
Tomokaze,M15,5-10-0
Onosato,M15,11-4-0
Takarafuji,M16,6-9-0
Bushozan,M16,4-11-0
Shimazuumi,M17,9-6-0
Aoiyama,M17,0-7-8
