Tournament,2024 Nagoya basho results - Makuuchi Division
Name,Rank,Record
Terunofuji,Y,12-3-0*
Kotozakura,O,10-5-0
Hoshoryu,O,9-4-2
Takakeisho,O,5-10-0
Abi,S,8-7-0
Onosato,S,9-6-0
Kirishima,S,8-7-0
Daieisho,K,8-7-0
Hiradoumi,K,10-5-0
Meisei,M1,4-11-0
Atamifuji,M1,7-8-0
Wakamotoharu,M2,6-9-0
Mitakeumi,M2,7-8-0
Takayasu,M3,0-2-13
Gonoyama,M3,5-10-0
Tobizaru,M4,9-6-0
Ura,M4,6-9-0
Onosho,M5,0-4-11
Shonannoumi,M5,7-8-0
Takanosho,M6,12-3-0
Oho,M6,9-6-0
Kotoshoho,M7,8-7-0
Sadanoumi,M7,5-10-0
Ryuden,M8,3-12-0
Kinbozan,M8,4-11-0
Oshoma,M9,7-8-0
Tamawashi,M9,7-8-0
Shodai,M10,10-5-0
Midorifuji,M10,8-7-0
Ichiyamamoto,M11,8-7-0
Nishikigi,M11,5-10-0
Asanoyama,M12,3-2-10
Churanoumi,M12,10-5-0
Hokutofuji,M13,6-9-0
Takarafuji,M13,5-10-0
Wakatakakage,M14,11-4-0
Endo,M14,10-5-0
Chiyoshoma,M15,5-5-5
Roga,M15,9-6-0
Kagayaki,M16,9-6-0
Bushozan,M16,8-7-0
Nishikifuji,M17,6-9-0
