Tournament,2024 Natsu basho results - Makuuchi Division
Name,Rank,Record
Terunofuji,Y,0-2-13
Hoshoryu,O,10-5-0
Kotozakura,O,11-4-0
Takakeisho,O,0-2-13
Kirishima,O,1-6-8
Wakamotoharu,S,4-8-3
Abi,S,10-5-0
Asanoyama,K,0-0-15
Onosato,K,12-3-0*
Atamifuji,M1,7-8-0
Daieisho,M1,11-4-0
Hiradoumi,M2,9-6-0
Gonoyama,M2,6-9-0
Takayasu,M3,7-3-5
Tobizaru,M3,6-9-0
Oho,M4,6-9-0
Ura,M4,7-8-0
Onosho,M5,7-8-0
Meisei,M5,10-5-0
Takerufuji,M6,0-0-15
Midorifuji,M6,5-10-0
Nishikigi,M7,5-10-0
Mitakeumi,M7,8-7-0
Takanosho,M8,8-7-0
Kotoshoho,M8,8-7-0
Tamawashi,M9,7-8-0
Shodai,M9,7-8-0
Shonannoumi,M10,9-6-0
Kinbozan,M10,8-7-0
Sadanoumi,M11,9-6-0
Hokutofuji,M11,7-8-0
Ichiyamamoto,M12,8-7-0
Nishikifuji,M12,5-10-0
Mitoryu,M13,2-9-4
Churanoumi,M13,8-7-0
Ryuden,M14,10-5-0
Oshoma,M14,10-5-0
Tokihayate,M15,6-9-0
Roga,M15,7-8-0
Tomokaze,M16,2-13-0
Takarafuji,M16,9-6-0
Tsurugisho,M17,3-12-0
