Tournament,2024 Kyushu basho results - Makuuchi Division
Name,Rank,Record
Terunofuji,Y,0-0-15
Kotozakura,O,14-1-0*
Hoshoryu,O,13-2-0
Onosato,O,9-6-0
Kirishima,S,6-9-0
Daieisho,S,8-7-0
Wakamotoharu,K,10-5-0
Shodai,K,4-11-0
Oho,M1,6-9-0
Hiradoumi,M1,4-11-0
Wakatakakage,M2,10-5-0
Ura,M2,5-10-0
Abi,M3,11-4-0
Atamifuji,M3,8-7-0
Churanoumi,M4,4-11-0
Oshoma,M4,4-11-0
Tobizaru,M5,9-6-0
Kotoshoho,M5,3-11-1
Takanosho,M6,11-4-0
Nishikigi,M6,5-10-0
Endo,M7,7-8-0
Mitakeumi,M7,7-8-0
Roga,M8,7-8-0
Gonoyama,M8,11-4-0
Midorifuji,M9,7-8-0
Takayasu,M9,8-7-0
Ichiyamamoto,M10,8-7-0
Takarafuji,M10,8-7-0
Tamawashi,M11,8-7-0
Meisei,M11,8-7-0
Hokutofuji,M12,7-8-0
Sadanoumi,M12,4-11-0
Ryuden,M13,4-11-0
Shonannoumi,M13,8-7-0
Chiyoshoma,M14,11-4-0
Nishikifuji,M14,6-9-0
Onokatsu,M15,9-6-0
Tokihayate,M15,6-9-0
Shishi,M16,5-10-0
Takerufuji,M16,10-5-0
Asakoryu,M17,6-9-0
Bushozan,M17,3-8-4
