Tournament,2000 Aki basho results - Makuuchi Division
Name,Rank,Record
Akebono,Y,13-2-0
Musashimaru,Y,14-1-0*
Takanohana,Y,0-0-15
Chiyotaikai,O,10-5-0
Dejima,O,10-5-0
Kaio,O,11-4-0
Miyabiyama,O,8-7-0
Tochiazuma,S,2-4-9
Musoyama,S,10-5-0
Akinoshima,K,7-8-0
Takanonami,K,9-6-0
Tosanoumi,M1,5-10-0
Kotoryu,M1,1-14-0
Chiyotenzan,M2,6-9-0
Hayateumi,M2,9-6-0
Kyokutenho,M3,4-11-0
Tochinonada,M3,4-11-0
Takatoriki,M4,6-9-0
Toki,M4,6-9-0
Oginishiki,M5,5-10-0
Takanowaka,M5,5-10-0
Wakanoyama,M6,8-7-0
Kotonowaka,M6,7-8-0
Tochinohana,M7,10-5-0
Takamisakari,M7,1-3-11
Kaiho,M8,7-8-0
Asanowaka,M8,6-9-0
Tamakasuga,M9,7-8-0
Aminishiki,M9,7-8-0
Tokitsuumi,M10,7-8-0
Wakanosato,M10,11-4-0
Otsukasa,M11,6-9-0
Minatofuji,M11,6-9-0
Higonoumi,M12,10-5-0
Sentoryu,M12,5-10-0
Kinkaiyama,M13,5-10-0
Hamanoshima,M13,9-6-0
Kyokushuzan,M14,9-6-0
Daishi,M14,5-10-0
Tochisakae,M15,8-7-0
