Tournament,2000 Nagoya basho results - Makuuchi Division
Name,Rank,Record
Akebono,Y,13-2-0*
Takanohana,Y,5-3-7
Musashimaru,Y,10-5-0
Chiyotaikai,O,11-4-0
Miyabiyama,O,6-9-0
Dejima,O,10-5-0
Musoyama,O,4-11-0
Kaio,S,11-4-0
Tochiazuma,S,12-3-0
Takanonami,S,7-8-0
Tosanoumi,K,7-8-0
Tamakasuga,K,2-13-0
Akinoshima,M1,8-7-0
Tochinohana,M1,5-10-0
Toki,M2,6-9-0
Takanowaka,M2,6-9-0
Tochinonada,M3,7-8-0
Asanowaka,M3,5-10-0
Oginishiki,M4,7-8-0
Wakanoyama,M4,7-8-0
Hayateumi,M5,8-7-0
Higonoumi,M5,4-11-0
Kaiho,M6,7-8-0
Kotoryu,M6,9-6-0
Kotonowaka,M7,8-7-0
Kyokutenho,M7,9-6-0
Kyokushuzan,M8,5-10-0
Takatoriki,M8,9-6-0
Chiyotenzan,M9,10-5-0
Minatofuji,M9,7-8-0
Hamanoshima,M10,6-9-0
Daizen,M10,5-10-0
Takamisakari,M11,10-5-0
Tokitsuumi,M11,9-6-0
Shikishima,M12,3-12-0
Otsukasa,M12,8-7-0
Sentoryu,M13,8-7-0
Aminishiki,M13,10-5-0
Aogiyama,M14,6-9-0
Kinkaiyama,M14,8-7-0
