Tournament,2000 Hatsu basho results - Makuuchi Division
Name,Rank,Record
Musashimaru,Y,2-2-11
Takanohana,Y,12-3-0
Wakanohana,Y,0-0-15
Akebono,Y,11-4-0
Dejima,O,9-6-0
Chiyotaikai,O,9-6-0
Kaio,S,7-8-0
Tochiazuma,S,8-7-0
Musoyama,S,13-2-0*
Takanonami,S,10-5-0
Tosanoumi,K,8-7-0
Miyabiyama,K,12-3-0
Toki,M1,4-11-0
Kotoryu,M1,6-9-0
Kotonowaka,M2,6-9-0
Asanowaka,M2,3-12-0
Kotonishiki,M3,3-12-0
Higonoumi,M3,2-5-8
Tochinonada,M4,6-9-0
Akinoshima,M4,7-8-0
Hamanoshima,M5,5-10-0
Shikishima,M5,7-8-0
Kyokushuzan,M6,8-7-0
Aogiyama,M6,4-10-1
Terao,M7,5-10-0
Wakanoyama,M7,9-6-0
Tamakasuga,M8,8-7-0
Asanosho,M8,7-8-0
Kaiho,M9,6-9-0
Minatofuji,M9,8-7-0
Takatoriki,M10,6-9-0
Otsukasa,M10,5-10-0
Chiyotenzan,M11,9-6-0
Tokitsuumi,M11,9-6-0
Takanowaka,M12,10-5-0
Ohinode,M12,4-11-0
Kyokutenho,M13,11-4-0
Oikari,M13,8-7-0
Kinkaiyama,M14,6-9-0
Wakanosato,M14,0-0-15
