Tournament,2000 Haru basho results - Makuuchi Division
Name,Rank,Record
Takanohana,Y,11-4-0
Akebono,Y,12-3-0
Musashimaru,Y,11-4-0
Wakanohana,Y,2-4-0
Dejima,O,11-4-0
Chiyotaikai,O,8-7-0
Takanonami,O,7-8-0
Musoyama,S,12-3-0
Miyabiyama,S,11-4-0
Tochiazuma,S,8-7-0
Tosanoumi,K,8-7-0
Kaio,K,8-7-0
Wakanoyama,M1,6-9-0
Kyokushuzan,M1,5-10-0
Tamakasuga,M2,5-10-0
Kyokutenho,M2,4-11-0
Kotoryu,M3,5-10-0
Kotonowaka,M3,0-0-15
Minatofuji,M4,2-11-2
Takanowaka,M4,5-10-0
Akinoshima,M5,5-10-0
Chiyotenzan,M5,6-9-0
Tochinonada,M6,9-6-0
Shikishima,M6,4-11-0
Tokitsuumi,M7,7-8-0
Toki,M7,7-8-0
Asanowaka,M8,8-7-0
Kotonishiki,M8,2-3-10
Hamanoshima,M9,8-7-0
Oginishiki,M9,8-7-0
Asanosho,M10,6-9-0
Hayateumi,M10,7-8-0
Oikari,M11,5-10-0
Higonoumi,M11,0-0-15
Terao,M12,7-8-0
Daizen,M12,9-6-0
Aogiyama,M13,0-0-15
Kaiho,M13,8-7-0
Takatoriki,M14,13-2-0*
Wakanosato,M14,0-0-15
