Tournament,2000 Natsu basho results - Makuuchi Division
Name,Rank,Record
Akebono,Y,13-2-0
Takanohana,Y,13-2-0
Musashimaru,Y,0-0-15
Dejima,O,8-7-0
Musoyama,O,0-0-15
Chiyotaikai,O,11-4-0
Takanonami,O,6-9-0
Miyabiyama,S,11-4-0
Tochiazuma,S,9-6-0
Tosanoumi,K,9-6-0
Kaio,K,14-1-0*
Takatoriki,K,2-13-0
Tochinonada,M1,5-10-0
Asanowaka,M1,5-10-0
Wakanoyama,M2,5-10-0
Hamanoshima,M2,3-12-0
Oginishiki,M3,6-9-0
Daizen,M3,3-12-0
Kyokushuzan,M4,5-10-0
Tamakasuga,M4,9-6-0
Kaiho,M5,7-8-0
Kotoryu,M5,7-8-0
Kyokutenho,M6,7-8-0
Chiyotenzan,M6,6-9-0
Takanowaka,M7,8-7-0
Akinoshima,M7,10-5-0
Kotomitsuki,M8,0-0-15
Tokitsuumi,M8,5-10-0
Toki,M9,9-6-0
Minatofuji,M9,0-0-15
Shikishima,M10,6-9-0
Kinkaiyama,M10,5-10-0
Hayateumi,M11,9-6-0
Higonoumi,M11,9-6-0
Tochinohana,M12,12-3-0
Asanosho,M12,4-11-0
Aogiyama,M13,7-8-0
Terao,M13,5-10-0
Jumonji,M14,6-9-0
Kotonowaka,M14,10-5-0
