Tournament,2000 Kyushu basho results - Makuuchi Division
Name,Rank,Record
Musashimaru,Y,11-4-0
Akebono,Y,14-1-0*
Takanohana,Y,11-4-0
Kaio,O,11-4-0
Chiyotaikai,O,9-6-0
Dejima,O,9-6-0
Miyabiyama,O,9-6-0
Musoyama,O,9-6-0
Takanonami,S,6-9-0
Hayateumi,S,4-5-6
Tochinohana,K,3-12-0
Wakanosato,K,9-6-0
Akinoshima,M1,5-10-0
Wakanoyama,M1,6-9-0
Higonoumi,M2,5-10-0
Hamanoshima,M2,4-11-0
Kyokushuzan,M3,4-11-0
Chiyotenzan,M3,6-9-0
Tosanoumi,M4,7-8-0
Tochiazuma,M4,0-0-15
Takatoriki,M5,4-11-0
Toki,M5,6-9-0
Tochisakae,M6,8-7-0
Kyokutenho,M6,7-8-0
Kotonowaka,M7,8-7-0
Tochinonada,M7,10-5-0
Oginishiki,M8,7-8-0
Takanowaka,M8,11-4-0
Kaiho,M9,8-7-0
Kotomitsuki,M9,13-2-0
Tamakasuga,M10,8-7-0
Aminishiki,M10,1-14-0
Kotoryu,M11,8-7-0
Asanowaka,M11,6-9-0
Tokitsuumi,M12,8-7-0
Jumonji,M12,5-10-0
Otsukasa,M13,5-10-0
Minatofuji,M13,8-7-0
Wakakosho,M14,7-8-0
Tamanonada,M14,7-8-0
