Tournament,2010 Aki basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,15-0-0*
Harumafuji,O,8-7-0
Kotooshu,O,10-5-0
Baruto,O,8-7-0
Kaio,O,8-7-0
Aran,S,7-8-0
Tochiozan,S,11-4-0
Kisenosato,K,7-8-0
Kakuryu,K,9-6-0
Tokitenku,M1,2-13-0
Wakanosato,M1,5-10-0
Homasho,M2,7-8-0
Tochinoshin,M2,9-6-0
Kotoshogiku,M3,9-6-0
Kyokutenho,M3,4-11-0
Tokusegawa,M4,6-9-0
Aminishiki,M4,8-7-0
Takamisakari,M5,4-11-0
Hakuba,M5,8-7-0
Mokonami,M6,5-10-0
Asasekiryu,M6,9-6-0
Kitataiki,M7,9-6-0
Tosayutaka,M7,6-9-0
Kokkai,M8,8-7-0
Masatsukasa,M8,0-0-15
Kimurayama,M9,8-7-0
Bushuyama,M9,6-9-0
Hokutoriki,M10,4-9-2
Shimotori,M10,8-7-0
Kotokasuga,M11,9-6-0
Yoshikaze,M11,11-4-0
Koryu,M12,6-9-0
Takekaze,M12,12-3-0
Kasugao,M13,6-9-0
Sokokurai,M13,8-7-0
Tochinonada,M14,8-7-0
Tamawashi,M14,10-5-0
Gagamaru,M15,10-5-0
Kakizoe,M15,3-12-0
Kyokunankai,M16,4-11-0
Tosanoumi,M16,2-13-0
Toyozakura,M17,6-9-0
