Tournament,2010 Hatsu basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,12-3-0
Asashoryu,Y,13-2-0*
Kotooshu,O,9-6-0
Harumafuji,O,10-5-0
Kotomitsuki,O,1-7-7
Kaio,O,9-6-0
Baruto,S,12-3-0
Chiyotaikai,S,0-4-0
Kotoshogiku,K,6-9-0
Kakuryu,K,7-8-0
Toyonoshima,M1,8-7-0
Tochinoshin,M1,5-10-0
Goeido,M2,7-8-0
Miyabiyama,M2,5-10-0
Hokutoriki,M3,3-12-0
Kisenosato,M3,9-6-0
Kakizoe,M4,6-9-0
Takekaze,M4,6-9-0
Yoshikaze,M5,6-9-0
Kyokutenho,M5,8-7-0
Bushuyama,M6,2-13-0
Aminishiki,M6,11-4-0
Tamawashi,M7,8-7-0
Wakanosato,M7,9-6-0
Tokitenku,M8,5-5-5
Asasekiryu,M8,6-9-0
Kokkai,M9,5-10-0
Shotenro,M9,3-12-0
Tochiozan,M10,8-7-0
Aran,M10,10-5-0
Takamisakari,M11,7-8-0
Mokonami,M11,6-9-0
Homasho,M12,9-6-0
Tosayutaka,M12,10-5-0
Tamanoshima,M13,7-8-0
Shimotori,M13,8-7-0
Iwakiyama,M14,9-6-0
Hakuba,M14,9-6-0
Kitataiki,M15,9-6-0
Tochinonada,M15,5-10-0
Koryu,M16,3-12-0
Toyohibiki,M16,12-3-0
