Tournament,2010 Haru basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,15-0-0*
Harumafuji,O,10-5-0
Kotooshu,O,10-5-0
Kaio,O,8-7-0
Kotomitsuki,O,9-6-0
Baruto,S,14-1-0
Toyonoshima,S,6-9-0
Kisenosato,K,9-6-0
Aminishiki,K,8-7-0
Kakuryu,M1,6-9-0
Wakanosato,M1,6-9-0
Kyokutenho,M2,3-12-0
Aran,M2,1-14-0
Goeido,M3,2-4-9
Kotoshogiku,M3,10-5-0
Tamawashi,M4,5-10-0
Tosayutaka,M4,3-12-0
Toyohibiki,M5,4-11-0
Homasho,M5,9-6-0
Tochiozan,M6,11-4-0
Tochinoshin,M6,9-6-0
Miyabiyama,M7,10-5-0
Kakizoe,M7,7-8-0
Iwakiyama,M8,8-7-0
Takekaze,M8,5-10-0
Hakuba,M9,8-7-0
Yoshikaze,M9,5-10-0
Kitataiki,M10,10-5-0
Shimotori,M10,5-10-0
Asasekiryu,M11,10-5-0
Hokutoriki,M11,6-9-0
Okinoumi,M12,8-7-0
Takamisakari,M12,7-8-0
Tokitenku,M13,10-5-0
Tokusegawa,M13,8-7-0
Kokkai,M14,10-5-0
Tamanoshima,M14,6-9-0
Sagatsukasa,M15,6-9-0
Mokonami,M15,9-6-0
Kasugao,M16,5-10-0
Bushuyama,M16,4-11-0
