Tournament,2010 Natsu basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,15-0-0*
Harumafuji,O,9-6-0
Kotooshu,O,9-6-0
Kotomitsuki,O,9-6-0
Kaio,O,9-9-0
Baruto,O,10-5-0
Kisenosato,S,8-7-0
Aminishiki,S,5-10-0
Kotoshogiku,K,9-6-0
Tochiozan,K,7-8-0
Toyonoshima,M1,5-10-0
Miyabiyama,M1,5-10-0
Homasho,M2,0-7-8
Tochinoshin,M2,8-7-0
Kakuryu,M3,6-9-0
Wakanosato,M3,6-9-0
Kitataiki,M4,7-8-0
Asasekiryu,M4,9-6-0
Iwakiyama,M5,0-0-15
Hakuba,M5,10-5-0
Tokitenku,M6,8-7-0
Kokkai,M6,3-12-0
Tamawashi,M7,3-12-0
Kyokutenho,M7,9-6-0
Kakizoe,M8,7-8-0
Toyohibiki,M8,8-7-0
Tosayutaka,M9,7-8-0
Goeido,M9,9-6-0
Aran,M10,12-3-0
Okinoumi,M10,5-10-0
Mokonami,M11,8-7-0
Tokusegawa,M11,9-6-0
Takekaze,M12,8-7-0
Kimurayama,M12,7-8-0
Yoshikaze,M13,9-6-0
Takamisakari,M13,8-7-0
Tochinonada,M14,3-12-0
Hokutoriki,M14,7-8-0
Wakakoyu,M15,10-5-0
Shimotori,M15,10-5-0
Koryu,M16,5-10-0
Tamanoshima,M16,5-10-0
