Tournament,2017 Nagoya basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,0-0-15
Harumafuji,Y,11-4-0*
Kisenosato,Y,0-0-15
Kakuryu,Y,0-0-15
Takayasu,O,1-2-12
Goeido,O,11-4-0
Terunofuji,O,1-5-9
Mitakeumi,S,8-7-0
Yoshikaze,S,8-7-0
Tamawashi,K,7-8-0
Tochiozan,K,6-9-0
Tochinoshin,M1,4-11-0
Kotoshogiku,M1,10-5-0
Hokutofuji,M2,7-8-0
Aoiyama,M2,3-5-7
Onosho,M3,10-5-0
Chiyotairyu,M3,8-7-0
Shohozan,M4,8-7-0
Ura,M4,1-2-12
Shodai,M5,6-9-0
Takakeisho,M5,9-6-0
Ichinojo,M6,8-7-0
Kagayaki,M6,4-11-0
Chiyonokuni,M7,9-6-0
Ikioi,M7,6-9-0
Chiyoshoma,M8,8-7-0
Takarafuji,M8,9-6-0
Takanoiwa,M9,8-7-0
Arawashi,M9,9-6-0
Ishiura,M10,3-12-0
Takekaze,M10,6-9-0
Daieisho,M11,8-7-0
Chiyomaru,M11,9-6-0
Daishomaru,M12,10-5-0
Sadanoumi,M12,2-8-5
Nishikigi,M13,6-9-0
Kaisei,M13,9-6-0
Endo,M14,10-5-0
Okinoumi,M14,8-7-0
Tokushoryu,M15,4-11-0
Yutakayama,M15,4-11-0
Asanoyama,M16,10-5-0
