Tournament,2017 Nagoya basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,14-1-0*
Harumafuji,Y,11-4-0
Kisenosato,Y,2-4-9
Kakuryu,Y,2-2-11
Terunofuji,O,1-5-9
Goeido,O,7-8-0
Takayasu,O,9-6-0
Tamawashi,S,7-8-0
Mitakeumi,S,9-6-0
Yoshikaze,K,9-6-0
Kotoshogiku,K,7-8-0
Shodai,M1,5-10-0
Takakeisho,M1,5-10-0
Tochinoshin,M2,9-6-0
Hokutofuji,M2,8-7-0
Ikioi,M3,4-11-0
Endo,M3,2-3-10
Ura,M4,7-8-0
Kagayaki,M4,5-10-
Chiyoshoma,M5,5-10-0
Tochiozan,M5,12-3-0
Ichinojo,M6,7-8-0
Onosho,M6,10-5-0
Takanoiwa,M7,6-9-0
Daieisho,M7,5-10-0
Aoiyama,M8,13-2-0
Ishiura,M8,7-8-0
Tokushoryu,M9,4-11-0
Okinoumi,M9,5-10-0
Chiyotairyu,M10,10-5-0
Shohozan,M10,10-5-0
Chiyonokuni,M11,8-7-0
Daishomaru,M11,7-8-0
Arawashi,M12,8-7-0
Takekaze,M12,8-7-0
Takarafuji,M13,9-6-0
Sokokurai,M13,6-9-0
Sadanoumi,M14,8-7-0
Kotoyuki,M14,4-11-0
Nishikigi,M15,8-7-0
Chiyomaru,M15,9-6-0
Gagamaru,M16,3-12-0
