Tournament,2017 Haru basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,2-3-10
Kakuryu,Y,10-5-0
Harumafuji,Y,10-5-0
Kisenosato,Y,13-2-0*
Goeido,O,1-5-9
Terunofuji,O,13-2-0
Tamawashi,S,8-7-0
Takayasu,S,12-3-0
Kotoshogiku,S,9-6-0
Mitakeumi,K,9-6-0
Shodai,K,4-11-0
Takekaze,M1,5-10-0
Ikioi,M1,5-10-0
Sokokurai,M2,4-11-0
Takanoiwa,M2,6-9-0
Shohozan,M3,5-10-0
Takarafuji,M3,7-8-0
Yoshikaze,M4,8-7-0
Arawashi,M4,3-10-2
Endo,M5,8-7-0
Hokutofuji,M5,7-8-0
Chiyonokuni,M6,9-6-0
Aoiyama,M6,8-7-0
Ichinojo,M7,6-9-0
Chiyoshoma,M7,9-6-0
Kaisei,M8,3-7-5
Okinoumi,M8,10-5-0
Kagayaki,M9,7-8-0
Kotoyuki,M9,5-10-0
Tochinoshin,M10,7-8-0
Tochiozan,M10,10-5-0
Daieisho,M11,11-4-0
Ishiura,M11,7-8-0
Sadanoumi,M12,4-11-0
Ura,M12,8-7-0
Takakeisho,M13,11-4-0
Daishomaru,M13,7-8-0
Myogiryu,M14,6-9-0
Kyokushuho,M14,5-10-0
Chiyoo,M15,3-8-4
Tokushoryu,M15,8-7-0
Nishikigi,M16,5-10-0
