Tournament,2017 Natsu basho results - Makuuchi Division
Name,Rank,Record
Kisenosato,Y,6-5-4
Kakuryu,Y,1-4-10
Harumafuji,Y,11-4-0
Hakuho,Y,15-0-0*
Terunofuji,O,12-3-0
Goeido,O,9-6-0
Tamawashi,S,10-5-0
Takayasu,S,11-4-0
Kotoshogiku,S,7-8-0
Mitakeumi,K,8-7-0
Yoshikaze,K,8-7-0
Chiyonokuni,M1,2-13-0
Endo,M1,6-9-0
Okinoumi,M2,3-12-0
Chiyoshoma,M2,5-10-0
Daieisho,M3,4-11-0
Aoiyama,M3,4-11-0
Tochiozan,M4,6-9-0
Takarafuji,M4,3-12-0
Takanoiwa,M5,5-7-3
Shodai,M5,10-5-0
Takekaze,M6,4-11-0
Ikioi,M6,9-6-0
Hokutofuji,M7,10-5-0
Takakeisho,M7,11-4-0
Shohozan,M8,6-9-0
Sokokurai,M8,5-10-0
Ichinojo,M9,8-7-0
Kagayaki,M9,9-6-0
Tochinoshin,M10,12-3-0
Ura,M10,11-4-0
Arawashi,M11,7-8-0
Ishiura,M11,8-7-0
Tokushoryu,M12,8-7-0
Kotoyuki,M12,6-9-0
Toyohibiki,M13,4-11-0
Daishomaru,M13,8-7-0
Onosho,M14,10-5-0
Chiyotairyu,M14,9-6-0
Myogiryu,M15,4-11-0
Kaisei,M15,7-8-0
Yutakayama,M16,4-11-0
