Tournament,2017 Hatsu basho results - Makuuchi Division
Name,Rank,Record
Kakuryu,Y,5-6-4
Harumafuji,Y,4-3-8
Hakuho,Y,11-4-0
Kisenosato,O,14-1-0*
Goeido,O,8-5-2
Terunofuji,O,4-11-0
Kotoshogiku,O,5-10-0
Tamawashi,S,9-6-0
Shodai,S,7-8-0
Takayasu,K,11-4-0
Tochinoshin,K,0-6-9
Takarafuji,M1,6-9-0
Mitakeumi,M1,11-4-0
Shohozan,M2,7-8-0
Arawashi,M2,6-9-0
Okinoumi,M3,4-11-0
Ikioi,M3,8-7-0
Tochiozan,M4,3-12-0
Endo,M4,7-8-0
Takekaze,M5,10-5-0
Yoshikaze,M5,8-7-0
Chiyoshoma,M6,7-8-0
Kotoyuki,M6,6-9-0
Myogiryu,M7,4-11-0
Aoiyama,M7,8-7-0
Hokutofuji,M8,9-6-0
Chiyonokuni,M8,9-6-0
Kaisei,M9,8-7-0
Ishiura,M9,6-9-0
Takanoiwa,M10,11-4-0
Sokokurai,M10,12-3-0
Kagayaki,M11,8-7-0
Nishikigi,M11,5-10-0
Takakeisho,M12,7-8-0
Daishomaru,M12,7-8-0
Gagamaru,M13,5-10-0
Ichinojo,M13,11-4-0
Chiyootori,M14,6-9-0
Chiyotairyu,M14,6-9-0
Chiyoo,M15,7-8-0
Sadanoumi,M15,8-7-0
Osunaarashi,M16,4-11-0
