Tournament,2011 Aki basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,13-2-0*
Harumafuji,O,8-7-0
Baruto,O,10-5-0
Kotooshu,O,1-6-8
Kotoshogiku,S,12-3-0
Kisenosato,S,12-3-0
Kakuryu,S,9-6-0
Toyonoshima,K,8-7-0
Aran,K,5-10-0
Homasho,M1,10-5-0
Okinoumi,M1,8-7-0
Wakanosato,M2,4-11-0
Yoshikaze,M2,6-9-0
Takekaze,M3,5-10-0
Tochiozan,M3,7-8-0
Tochinoshin,M4,8-7-0
Tokitenku,M4,6-9-0
Miyabiyama,M5,7-8-0
Goeido,M5,10-5-0
Takayasu,M6,6-9-0
Wakakoyu,M6,6-9-0
Fujiazuma,M7,6-9-0
Tochinowaka,M7,9-6-0
Kaisei,M8,4-11-0
Toyohibiki,M8,6-9-0
Masunoyama,M9,2-3-10
Sagatsukasa,M9,6-9-0
Tamawashi,M10,6-9-0
Kyokutenho,M10,11-4-0
Kitataiki,M11,10-5-0
Gagamaru,M11,11-4-0
Aminishiki,M12,10-5-0
Asasekiryu,M12,7-8-0
Yoshiazuma,M13,5-10-0
Tamaasuka,M13,4-11-0
Tosayutaka,M14,4-11-0
Shotenro,M14,9-6-0
Daido,M15,8-7-0
Takanoyama,M15,5-10-0
Kokkai,M16,9-6-0
Kimurayama,M16,7-8-0
Hochiyama,M17,5-10-0
