Tournament,2011 Nagoya basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,12-3-0
Baruto,O,11-4-0
Harumafuji,O,14-1-0*
Kaio,O,3-8-0
Kotooshu,O,9-6-0
Kotoshogiku,S,11-4-0
Kisenosato,S,10-5-0
Kakuryu,S,10-5-0
Goeido,K,5-10-0
Tochinoshin,K,6-9-0
Tosayutaka,M1,0-4-11
Yoshikaze,M1,7-8-0
Kyokutenho,M2,2-13-0
Toyonoshima,M2,9-6-0
Wakakoyu,M3,5-10-0
Aminishiki,M3,2-13-0
Okinoumi,M4,8-7-0
Takekaze,M4,8-7-0
Kaisei,M5,6-9-0
Wakanosato,M5,9-6-0
Tamawashi,M6,5-10-0
Aran,M6,10-5-0
Tokitenku,M7,8-7-0
Gagamaru,M7,5-10-0
Tochiozan,M8,10-5-0
Miyabiyama,M8,8-7-0
Homasho,M9,11-4-0
Asasekiryu,M9,6-9-0
Kitataiki,M10,7-8-0
Takarafuji,M10,4-11-0
Takayasu,M11,9-6-0
Tochinowaka,M11,8-7-0
Daido,M12,6-9-0
Toyohibiki,M12,8-7-0
Sagatsukasa,M13,8-7-0
Shotenro,M13,7-8-0
Takamisakari,M14,3-12-0
Tochinonada,M14,6-9-0
Fujiazuma,M15,10-5-0
Kimurayama,M15,7-8-0
