Tournament,2011 Natsu basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,13-2-0*
Kotooshu,O,3-8-4
Kaio,O,9-6-0
Baruto,O,10-5-0
Harumafuji,O,10-5-0
Kotoshogiku,S,10-5-0
Kisenosato,S,8-7-0
Kakuryu,K,12-3-0
Toyonoshima,K,5-10-0
Goeido,M1,11-4-0
Tokusegawa,M1,0-0-0
Homasho,M2,3-12-0
Tochiozan,M2,4-11-0
Kitataiki,M3,3-12-0
Aminishiki,M3,7-8-0
Okinoumi,M4,7-8-0
Takekaze,M4,7-8-0
Aran,M5,6-9-0
Wakanosato,M5,7-8-0
Tamawashi,M6,7-8-0
Tochinoshin,M6,12-3-0
Hakuba,M7,0-0-0
Yoshikaze,M7,9-6-0
Kyokutenho,M8,8-7-0
Shotenro,M8,4-11-0
Tosayutaka,M9,10-5-0
Asasekiryu,M9,7-8-0
Kasugao,M10,0-0-0
Wakakoyu,M10,8-7-0
Koryu,M11,0-0-0
Tochinowaka,M11,7-8-0
Mokonami,M12,0-0-0
Toyohibiki,M12,7-8-0
Kotokasuga,M13,0-0-0
Tokitenku,M13,8-7-0
Gagamaru,M14,8-7-0
Tochinonada,M14,6-9-0
Takamisakari,M15,7-8-0
Miyabiyama,M16,8-7-0
Kaisei,M16,10-5-0
Kimurayama,M17,7-8-0
