Tournament,1993 Natsu basho results - Makuuchi Division
Name,Rank,Record
Akebono,Y,13-2-0
Takanohana,O,14-1-0*
Konishiki,O,7-8-0
Musashimaru,S,9-6-0
Wakanohana,S,10-5-0
Wakashoyo,HD,7-8-0
Takanonami,K,10-5-0
Kyokudozan,K,4-11-0
Misugisato,M1,7-8-0
Tomoefuji,M1,3-12-0
Kirishima,M2,8-7-0
Takamisugi,M2,5-10-0
Kotonishiki,M3,8-7-0
Toyonoumi,M3,5-10-0
Kushimaumi,M4,6-9-0
Kitakachidoki,M4,0-0-15
Terao,M5,5-10-0
Kotobeppu,M5,5-10-0
Kenko,M6,5-10-0
Takatoriki,M6,11-4-0
Kotofuji,M7,7-8-0
Kotonowaka,M7,8-7-0
Tochinowaka,M8,6-9-0
Kasugafuji,M8,5-10-0
Daishoho,M9,8-7-0
Higonoumi,M9,7-8-0
Akinoshima,M10,0-0-15
Oginohana,M10,9-6-0
Tochinofuji,M11,4-11-0
Daizen,M11,7-8-0
Daishoyama,M12,9-6-0
Kotoinazuma,M12,8-7-0
Tokitsunada,M13,10-5-0
Naminohana,M13,4-11-0
Mitoizumi,M14,10-5-0
Kiraiho,M14,8-7-0
Mainoumi,M15,10-5-0
Kaio,M15,4-11-0
Oginishiki,M16,9-6-0
Hitachiryu,M16,0-0-15
