Tournament,1993 Kyushu basho results - Makuuchi Division
Name,Rank,Record
Akebono,Y,13-2-0*
Takanohana,O,7-8-0
Wakanohana,O,12-3-0
Konishiki,HD,6-9-0
Takanonami,S,12-3-0
Kotonishiki,S,9-6-0
Musashimaru,HD,13-2-0
Kotonowaka,K,7-8-0
Akinoshima,K,6-9-0
Takatoriki,M1,5-10-0
Kushimaumi,M1,5-10-0
Misugisato,M2,6-9-0
Tomonohana,M2,8-7-0
Daishoho,M3,6-8-1
Takamisugi,M3,4-11-0
Kirishima,M4,3-12-0
Kotofuji,M4,0-0-15
Kenko,M5,7-8-0
Wakashoyo,M5,8-7-0
Tochinowaka,M6,8-7-0
Terao,M6,7-8-0
Higonoumi,M7,5-10-0
Kyokudozan,M7,6-9-0
Mainoumi,M8,6-9-0
Kotobeppu,M8,8-7-0
Kotoinazuma,M9,6-9-0
Kasugafuji,M9,6-9-0
Daishoyama,M10,6-9-0
Tokitsunada,M10,6-9-0
Mitoizumi,M11,0-0-15
Musoyama,M11,9-6-0
Daizen,M12,10-5-0
Oginohana,M12,4-11-0
Kiraiho,M13,8-7-0
Tamakairiki,M13,8-7-0
Kitakachidoki,M14,9-6-0
Toyonoumi,M14,8-7-0
Minatofuji,M15,7-8-0
Kaio,M15,10-5-0
Oginishiki,M16,11-4-0
