Tournament,1993 Haru basho results - Makuuchi Division
Name,Rank,Record
Akebono,Y,10-5-0
Takanohana,O,11-4-0
Konishiki,O,9-6-0
Musashimaru,S,10-5-0
Akinoshima,S,0-2-13
Kirishima,HD,5-10-0
Wakahanada,K,14-1-0*
Wakashoyo,K,10-5-0
Kotonishiki,HD,5-10-0
Takanonami,M1,9-6-0
Tochinowaka,M1,4-11-0
Kyokudozan,M2,9-6-0
Kushimaumi,M2,7-7-1
Daishoyama,M3,3-12-0
Misugisato,M3,9-6-0
Oginohana,M4,5-10-0
Tomoefuji,M4,9-6-0
Daishoho,M5,6-9-0
Kotobeppu,M5,0-0-15
Takamisugi,M6,8-7-0
Toyonoumi,M6,8-7-0
Naminohana,M7,5-10-0
Mitoizumi,M7,4-11-0
Kotoinazuma,M8,6-9-0
Kitakachidoki,M8,8-7-0
Kototsubaki,M9,4-11-0
Terao,M9,8-7-0
Kotofuji,M10,8-7-0
Daizen,M10,7-8-0
Kiraiho,M11,6-9-0
Mainoumi,M11,6-9-0
Takatoriki,M12,9-6-0
Kotonowaka,M12,9-6-0
Aogiyama,M13,6-9-0
Tochinofuji,M13,8-7-0
Hitachiryu,M14,7-8-0
Kenko,M14,10-5-0
Kasugafuji,M15,9-6-0
Enazakura,M15,6-9-0
Higonoumi,M16,9-6-0
