Tournament,1993 Aki basho results - Makuuchi Division
Name,Rank,Record
Akebono,Y,14-1-0*
Takanohana,O,12-3-0
Wakanohana,O,9-6-0
Konishiki,HD,0-2-13
Musashimaru,S,8-7-0
Takanonami,S,10-5-0
Kotonishiki,HD,9-6-0
Takatoriki,K,7-8-0
Kotonowaka,K,8-7-0
Wakashoyo,M1,5-10-0
Mitoizumi,M1,4-10-1
Kotofuji,M2,6-9-0
Akinoshima,M2,9-6-0
Tochinowaka,M3,6-9-0
Kotobeppu,M3,5-10-0
Kenko,M4,7-8-0
Terao,M4,6-9-0
Higonoumi,M5,6-9-0
Daizen,M5,5-10-0
Misugisato,M6,8-7-0
Kasugafuji,M6,7-8-0
Kiraiho,M7,5-10-0
Tokitsunada,M7,7-8-0
Minatofuji,M8,5-10-0
Takamisugi,M8,8-7-0
Kitakachidoki,M9,6-9-0
Oginohana,M9,7-8-0
Tomonohana,M10,9-6-0
Daishoho,M10,9-6-0
Kyokudozan,M11,8-7-0
Toyonoumi,M11,7-8-0
Kirishima,M12,9-6-0
Daishoyama,M12,8-7-0
Kushimaumi,M13,12-3-0
Tomoefuji,M13,4-11-0
Mainoumi,M14,9-6-0
Kotoinazuma,M14,9-6-0
Tatsuhikari,M15,2-13-0
Musoyama,M15,9-6-0
Tamakairiki,M16,8-7-0
