Tournament,1993 Nagoya basho results - Makuuchi Division
Name,Rank,Record
Akebono,Y,13-2-0*
Takanohana,O,13-2-0
Konishiki,O,9-6-0
Wakanohana,S,13-2-0
Musashimaru,S,8-7-0
Takanonami,HD,9-6-0
Takatoriki,K,8-7-0
Wakashoyo,K,7-8-0
Kirishima,M1,3-12-0
Kotonishiki,M1,12-3-0
Misugisato,M2,5-10-0
Kotonowaka,M2,8-7-0
Oginohana,M3,4-11-0
Kyokudozan,M3,4-11-0
Tokitsunada,M4,5-10-0
Kitakachidoki,M4,5-10-0
Daishoho,M5,5-10-0
Mitoizumi,M5,9-6-0
Daishoyama,M6,5-10-0
Mainoumi,M6,4-11-0
Takamisugi,M7,7-8-0
Kushimaumi,M7,5-10-0
Tomoefuji,M8,5-10-0
Kotoinazuma,M8,5-10-0
Toyonoumi,M9,7-8-0
Kotofuji,M9,11-4-0
Akinoshima,M10,9-6-0
Oginishiki,M10,4-11-0
Terao,M11,8-7-0
Higonoumi,M11,8-7-0
Kotobeppu,M12,9-6-0
Kiraiho,M12,8-7-0
Kenko,M13,9-6-0
Tochinowaka,M13,10-5-0
Daizen,M14,9-6-0
Kasugafuji,M14,9-6-0
Minatofuji,M15,9-6-0
Aogiyama,M15,5-10-0
Tomonohana,M16,9-6-0
Hitachiryu,M16,5-10-0
