Tournament,1993 Hatsu basho results - Makuuchi Division
Name,Rank,Record
Akebono,O,13-2-0*
Konishiki,O,10-5-0
Takahanada,S,11-4-0
Kotonishiki,S,7-8-0
Musashimaru,HD,10-5-0
Kirishima,HD,0-0-15
Daishoho,K,4-11-0
Takamisugi,K,4-11-0
Akinoshima,M1,9-6-0
Kushimaumi,M1,7-8-0
Tomoefuji,M2,6-9-0
Misugisato,M2,7-8-0
Wakahanada,M3,10-5-0
Wakashoyo,M3,10-5-0
Daizen,M4,5-10-0
Toyonoumi,M4,7-8-0
Terao,M5,6-9-0
Takatoriki,M5,5-10-0
Tochinowaka,M6,8-7-0
Kyokudozan,M6,8-7-0
Takanonami,M7,10-5-0
Kitakachidoki,M7,7-8-0
Oginohana,M8,8-7-0
Kotonowaka,M8,6-9-0
Kototsubaki,M9,0-0-15
Kotobeppu,M9,8-6-1
Tokitsunada,M10,3-12-0
Mitoizumi,M10,8-7-0
Kasugafuji,M11,6-9-0
Kirinishiki,M11,0-5-10
Kotoinazuma,M12,9-6-0
Tamakairiki,M12,2-13-0
Tatsuhikari,M13,2-13-0
Kiraiho,M13,8-7-0
Naminohana,M14,10-5-0
Daishoyama,M14,12-3-0
Kotogaume,M15,2-3-10
Kotofuji,M15,9-6-0
Mainoumi,M16,9-6-0
Kyokugozan,M16,4-11-0
