Tournament,2019 Kyushu basho results - Makuuchi Division
Name,Rank,Record
Kakuryu,Y,0-1-14
Hakuho,Y,14-1-0*
Goeido,O,0-2-13
Takayasu,O,3-5-7
Takakeisho,O,9-6-0
Mitakeumi,S,6-9-0
Tochinoshin,S,2-3-10
Abi,K,9-6-0
Endo,K,7-8-0
Hokutofuji,K,7-8-0
Asanoyama,K,11-4-0
Daieisho,M1,8-7-0
Okinoumi,M1,6-9-0
Myogiryu,M2,8-7-0
Meisei,M2,6-9-0
Takarafuji,M3,6-9-0
Tomokaze,M3,0-3-12
Tamawashi,M4,8-7-0
Kotoyuki,M4,8-7-0
Aoiyama,M5,6-9-0
Ryuden,M5,6-9-0
Onosho,M6,7-8-0
Enho,M6,8-7-0
Tsurugisho,M7,6-9-0
Kotoeko,M7,5-10-0
Shohozan,M8,8-7-0
Sadanoumi,M8,7-8-0
Kotoshogiku,M9,6-9-0
Yutakayama,M9,8-7-0
Shimanoumi,M10,6-9-0
Shodai,M10,11-4-0
Ishiura,M11,9-6-0
Chiyotairyu,M11,9-6-0
Ichinojo,M12,0-0-15
Takanosho,M12,10-5-0
Chiyomaru,M13,9-6-0
Kagayaki,M13,10-5-0
Terutsuyoshi,M14,8-7-0
Nishikigi,M14,4-11-0
Daishomaru,M15,5-10-0
Daishoho,M15,3-12-0
Wakatakakage,M16,4-1-10
